ID	Block	Row	Column	Name																					
1	1	1	1	1.0_pep49																					
2	1	1	2	1.0_pep50																					
3	1	1	3	1.0_pep51																					
4	1	1	4	1.0_pep52																					
5	1	1	5	1.0_pep53																					
6	1	1	6	1.0_pep54																					
7	1	1	7	0.5_pep49																					
8	1	1	8	0.5_pep50																					
9	1	1	9	0.5_pep51										1	2	3	4	5	6	7	8	9	10	11	12
10	1	1	10	0.5_pep52									A	1.0_pep49	1.0_pep50	1.0_pep51	1.0_pep52	1.0_pep53	1.0_pep54	0.5_pep49	0.5_pep50	0.5_pep51	0.5_pep52	0.5_pep53	0.5_pep54
11	1	1	11	0.5_pep53									B	0.25_pep49	0.25_pep50	0.25_pep51	0.25_pep52	0.25_pep53	0.25_pep54	1.0_pep49	1.0_pep50	1.0_pep51	1.0_pep52	1.0_pep53	1.0_pep54
12	1	1	12	0.5_pep54									C	0.5_pep49	0.5_pep50	0.5_pep51	0.5_pep52	0.5_pep53	0.5_pep54	0.25_pep49	0.25_pep50	0.25_pep51	0.25_pep52	0.25_pep53	0.25_pep54
13	1	2	1	0.25_pep49									D	1.0_pep49	1.0_pep50	1.0_pep51	1.0_pep52	1.0_pep53	1.0_pep54	0.5_pep49	0.5_pep50	0.5_pep51	0.5_pep52	0.5_pep53	0.5_pep54
14	1	2	2	0.25_pep50									E	0.25_pep49	0.25_pep50	0.25_pep51	0.25_pep52	0.25_pep53	0.25_pep54	1.0_pep49	1.0_pep50	1.0_pep51	1.0_pep52	1.0_pep53	1.0_pep54
15	1	2	3	0.25_pep51									F	0.5_pep49	0.5_pep50	0.5_pep51	0.5_pep52	0.5_pep53	0.5_pep54	0.25_pep49	0.25_pep50	0.25_pep51	0.25_pep52	0.25_pep53	0.25_pep54
16	1	2	4	0.25_pep52									G	1.0_pep49	1.0_pep50	1.0_pep51	1.0_pep52	1.0_pep53	1.0_pep54	0.5_pep49	0.5_pep50	0.5_pep51	0.5_pep52	0.5_pep53	0.5_pep54
17	1	2	5	0.25_pep53									H	0.25_pep49	0.25_pep50	0.25_pep51	0.25_pep52	0.25_pep53	0.25_pep54	Buffer-001	Buffer-001	Buffer-001	Buffer-001	Buffer-001	Buffer-001
18	1	2	6	0.25_pep54																					
19	1	2	7	1.0_pep49																					
20	1	2	8	1.0_pep50																					
21	1	2	9	1.0_pep51																					
22	1	2	10	1.0_pep52																					
23	1	2	11	1.0_pep53																					
24	1	2	12	1.0_pep54																					
25	1	3	1	0.5_pep49																					
26	1	3	2	0.5_pep50																					
27	1	3	3	0.5_pep51																					
28	1	3	4	0.5_pep52																					
29	1	3	5	0.5_pep53																					
30	1	3	6	0.5_pep54																					
31	1	3	7	0.25_pep49																					
32	1	3	8	0.25_pep50																					
33	1	3	9	0.25_pep51																					
34	1	3	10	0.25_pep52																					
35	1	3	11	0.25_pep53																					
36	1	3	12	0.25_pep54																					
37	1	4	1	1.0_pep49																					
38	1	4	2	1.0_pep50																					
39	1	4	3	1.0_pep51																					
40	1	4	4	1.0_pep52																					
41	1	4	5	1.0_pep53																					
42	1	4	6	1.0_pep54																					
43	1	4	7	0.5_pep49																					
44	1	4	8	0.5_pep50																					
45	1	4	9	0.5_pep51																					
46	1	4	10	0.5_pep52																					
47	1	4	11	0.5_pep53																					
48	1	4	12	0.5_pep54																					
49	1	5	1	0.25_pep49																					
50	1	5	2	0.25_pep50																					
51	1	5	3	0.25_pep51																					
52	1	5	4	0.25_pep52																					
53	1	5	5	0.25_pep53																					
54	1	5	6	0.25_pep54																					
55	1	5	7	1.0_pep49																					
56	1	5	8	1.0_pep50																					
57	1	5	9	1.0_pep51																					
58	1	5	10	1.0_pep52																					
59	1	5	11	1.0_pep53																					
60	1	5	12	1.0_pep54																					
61	1	6	1	0.5_pep49																					
62	1	6	2	0.5_pep50																					
63	1	6	3	0.5_pep51																					
64	1	6	4	0.5_pep52																					
65	1	6	5	0.5_pep53																					
66	1	6	6	0.5_pep54																					
67	1	6	7	0.25_pep49																					
68	1	6	8	0.25_pep50																					
69	1	6	9	0.25_pep51																					
70	1	6	10	0.25_pep52																					
71	1	6	11	0.25_pep53																					
72	1	6	12	0.25_pep54																					
73	1	7	1	1.0_pep49																					
74	1	7	2	1.0_pep50																					
75	1	7	3	1.0_pep51																					
76	1	7	4	1.0_pep52																					
77	1	7	5	1.0_pep53																					
78	1	7	6	1.0_pep54																					
79	1	7	7	0.5_pep49																					
80	1	7	8	0.5_pep50																					
81	1	7	9	0.5_pep51																					
82	1	7	10	0.5_pep52																					
83	1	7	11	0.5_pep53																					
84	1	7	12	0.5_pep54																					
85	1	8	1	0.25_pep49																					
86	1	8	2	0.25_pep50																					
87	1	8	3	0.25_pep51																					
88	1	8	4	0.25_pep52																					
89	1	8	5	0.25_pep53																					
90	1	8	6	0.25_pep54																					
91	1	8	7	Buffer-001																					
92	1	8	8	Buffer-001																					
93	1	8	9	Buffer-001																					
94	1	8	10	Buffer-001																					
95	1	8	11	Buffer-001																					
96	1	8	12	Buffer-001																					
