,sid,concentration,labeling,buffer,ph,purity,produced_by,comment,ligand
0,1.0_pep6,1.0,,,,,,,pep6
1,0.5_pep6,0.5,,,,,,,pep6
2,0.25_pep6,0.25,,,,,,,pep6
3,1.0_pep7,1.0,,,,,,,pep7
4,0.5_pep7,0.5,,,,,,,pep7
5,0.25_pep7,0.25,,,,,,,pep7
6,1.0_pep8,1.0,,,,,,,pep8
7,0.5_pep8,0.5,,,,,,,pep8
8,0.25_pep8,0.25,,,,,,,pep8
9,1.0_pep9,1.0,,,,,,,pep9
10,0.5_pep9,0.5,,,,,,,pep9
11,0.25_pep9,0.25,,,,,,,pep9
12,1.0_pep10,1.0,,,,,,,pep10
13,0.5_pep10,0.5,,,,,,,pep10
14,0.25_pep10,0.25,,,,,,,pep10
15,1.0_pep11,1.0,,,,,,,pep11
16,0.5_pep11,0.5,,,,,,,pep11
17,0.25_pep11,0.25,,,,,,,pep11
18,1.0_pep12,1.0,,,,,,,pep12
19,0.5_pep12,0.5,,,,,,,pep12
20,0.25_pep12,0.25,,,,,,,pep12
21,1.0_pep13,1.0,,,,,,,pep13
22,0.5_pep13,0.5,,,,,,,pep13
23,0.25_pep13,0.25,,,,,,,pep13
24,1.0_pep14,1.0,,,,,,,pep14
25,0.5_pep14,0.5,,,,,,,pep14
26,0.25_pep14,0.25,,,,,,,pep14
27,1.0_pep16,1.0,,,,,,,pep16
28,0.5_pep16,0.5,,,,,,,pep16
29,0.25_pep16,0.25,,,,,,,pep16
30,1.0_pep37,1.0,,,,,,,pep37
31,0.5_pep37,0.5,,,,,,,pep37
32,0.25_pep37,0.25,,,,,,,pep37
33,1.0_pep39,1.0,,,,,,,pep39
34,0.5_pep39,0.5,,,,,,,pep39
35,0.25_pep39,0.25,,,,,,,pep39
36,1.0_pep40,1.0,,,,,,,pep40
37,0.5_pep40,0.5,,,,,,,pep40
38,0.25_pep40,0.25,,,,,,,pep40
39,1.0_pep41,1.0,,,,,,,pep41
40,0.5_pep41,0.5,,,,,,,pep41
41,0.25_pep41,0.25,,,,,,,pep41
42,1.0_Ak_28666,1.0,,,,,,,Ak_28666
43,0.5_Ak_28666,0.5,,,,,,,Ak_28666
44,0.25_Ak_28666,0.25,,,,,,,Ak_28666
45,1.0_pep43,1.0,,,,,,,pep43
46,0.5_pep43,0.5,,,,,,,pep43
47,0.25_pep43,0.25,,,,,,,pep43
48,1.0_pep44,1.0,,,,,,,pep44
49,0.5_pep44,0.5,,,,,,,pep44
50,0.25_pep44,0.25,,,,,,,pep44
51,1.0_pep45,1.0,,,,,,,pep45
52,0.5_pep45,0.5,,,,,,,pep45
53,0.25_pep45,0.25,,,,,,,pep45
54,1.0_pep46,1.0,,,,,,,pep46
55,0.5_pep46,0.5,,,,,,,pep46
56,0.25_pep46,0.25,,,,,,,pep46
57,1.0_pep47,1.0,,,,,,,pep47
58,0.5_pep47,0.5,,,,,,,pep47
59,0.25_pep47,0.25,,,,,,,pep47
60,1.0_pep48,1.0,,,,,,,pep48
61,0.5_pep48,0.5,,,,,,,pep48
62,0.25_pep48,0.25,,,,,,,pep48
63,1.0_pep49,1.0,,,,,,,pep49
64,0.5_pep49,0.5,,,,,,,pep49
65,0.25_pep49,0.25,,,,,,,pep49
66,1.0_pep50,1.0,,,,,,,pep50
67,0.5_pep50,0.5,,,,,,,pep50
68,0.25_pep50,0.25,,,,,,,pep50
69,1.0_AK_28667,1.0,,,,,,,AK_28667
70,0.5_AK_28667,0.5,,,,,,,AK_28667
71,0.25_AK_28667,0.25,,,,,,,AK_28667
72,1.0_pep52,1.0,,,,,,,pep52
73,0.5_pep52,0.5,,,,,,,pep52
74,0.25_pep52,0.25,,,,,,,pep52
75,Puffer,,,,,,,,
76,Puffer,,,,,,,,
77,Puffer,,,,,,,,
78,1.0_pep54,1.0,,,,,,,pep54
79,0.5_pep54,0.5,,,,,,,pep54
80,0.25_pep54,0.25,,,,,,,pep54
81,1.0_pep55,1.0,,,,,,,pep55
82,0.5_pep55,0.5,,,,,,,pep55
83,0.25_pep55,0.25,,,,,,,pep55
84,1.0_pep56,1.0,,,,,,,pep56
85,0.5_pep56,0.5,,,,,,,pep56
86,0.25_pep56,0.25,,,,,,,pep56
87,1.0_pep57,1.0,,,,,,,pep57
88,0.5_pep57,0.5,,,,,,,pep57
89,0.25_pep57,0.25,,,,,,,pep57
90,1.0_pep58,1.0,,,,,,,pep58
91,0.5_pep58,0.5,,,,,,,pep58
92,0.25_pep58,0.25,,,,,,,pep58
93,1.0_pep59,1.0,,,,,,,pep59
94,0.5_pep59,0.5,,,,,,,pep59
95,0.25_pep59,0.25,,,,,,,pep59
96,1.0_pep60,1.0,,,,,,,pep60
97,0.5_pep60,0.5,,,,,,,pep60
98,0.25_pep60,0.25,,,,,,,pep60
99,1.0_pep61,1.0,,,,,,,pep61
100,0.5_pep61,0.5,,,,,,,pep61
101,0.25_pep61,0.25,,,,,,,pep61
102,Puffer,,,,,,,,
103,Puffer,,,,,,,,
104,Puffer,,,,,,,,
