Row	1	2	3	4	5	6	7	8	9	10
1	260402	9478	10792	6636	7533	6285	6396	15698	17990	848605
2	12010	15654	109549	29856	86499	51932	60919	691277	12621	7307
3	20354	131050	117519	30028	36274	94015	96109	9514	199162	4948
4	7353	65792	46601	32588	51863	63058	130838	14092	493297	11808
5	15014	74077	51810	13059	74644	92247	42456	12775	623533	13558
6	6035	98970	81821	10136	105543	110377	57282	50544	573203	13558
7	8364	7922	41220	13361	149513	74287	71431	76796	699089	221893
8	588607	4843	75912	105832	168717	121065	88534	71076	686465	240163
9	5057	3215	9325	2923	3464	5927	7934	14213	11757	12830
10	10499	85117	107234	127224	73185	61823	69508	720444	211653	9529
11	8974	130508	110630	18048	82308	57651	71393	588374	234322	6956
12	4346	45474	146555	20060	36076	79860	87298	10095	201248	6062
13	13185	57450	56324	26042	68684	48889	106520	9525	517205	15928
14	7195	63265	64998	6690	80992	79293	29974	12176	519335	57176
15	5032	13757	81665	11155	109933	93375	43990	42889	428355	67738
16	443239	5398	32158	17849	116923	58106	48363	49271	555440	71879
17	3501	3835	12282	6496	104330	3747	3701	5936	5775	5934
18	9635	44852	14268	102035	35165	46660	47956	578368	8059	12718
19	7522	75902	111158	129895	64662	45278	57518	619734	206289	4090
20	7803	212193	120221	15983	98174	53610	54507	630505	210787	8874
21	8614	64978	173794	17232	38543	55524	60786	16249	236448	4803
22	9009	57604	53971	22864	55979	45142	68374	11153	473094	3519
23	10918	57142	85348	18427	90969	62965	20873	22490	487050	170826
24	11074	7904	82140	10476	102269	90215	28990	39000	536436	266197
25	351520	4146	14550	4947	4870	4378	4499	6447	9085	217332
