Row	1	2	3	4	5	6	7	8	9	10
1	297350	3117	10668	1648	6840	13370	5141	1829	2608	767038
2	8644	5781	223071	16198	47897	19919	17546	840022	7301	4822
3	16770	160660	225057	19070	55452	23896	41133	8897	342898	2767
4	7246	53873	53861	39956	64178	23437	34091	16448	761064	7297
5	15149	62486	78190	3048	130070	28915	12524	6075	712841	10801
6	9887	71629	95092	10002	89926	38946	17573	26906	741010	10801
7	34842	17123	37028	13325	173407	27030	11353	27724	955531	365617
8	580696	739	75781	87498	163284	33095	24368	36069	811084	378771
9	1120	955	826	718	28602	3900	2025	5839	7444	15271
10	3841	73606	94345	132396	24219	16593	30063	718458	314752	6513
11	8927	245670	141876	10630	24850	20380	34071	758910	294002	4772
12	1069	44800	215675	12746	45891	19885	26407	5990	350276	8794
13	4068	63310	48308	33146	53881	19287	24739	6053	676392	2392
14	3663	62423	60225	1771	101147	26462	9791	3177	695022	38300
15	8360	7640	77511	6899	62961	27316	10771	21363	720685	28816
16	478859	1021	34242	8059	111633	22091	9833	41259	663258	34305
17	5801	5079	833	2878	5614	7052	12851	11917	4682	3034
18	3149	31807	23431	108155	20177	13668	43540	838592	5560	2184
19	6289	72534	116801	145285	25503	17941	40381	681917	280671	7078
20	1770	255646	133159	10801	31580	41914	17798	689426	243280	31042
21	7239	65432	223661	12483	40412	19633	20260	10276	285236	10851
22	3457	81873	55710	23980	57520	25243	25339	10011	565688	276
23	8312	94665	68299	10380	73493	23230	17648	10155	503738	125840
24	4613	19143	96817	2317	68158	35137	21322	20598	575892	156670
25	594103	2898	4543	4067	22803	4778	7520	1921	514	164819
