Row	1	2	3	4	5	6	7	8	9	10
1	81304	3573	2600	1790	1792	925	1027	8053	2242	378896
2	797	1014	42995	15928	111322	65526	60917	56885	1618	2702
3	5463	47290	41472	18335	14120	66072	68738	5492	11236	2779
4	3023	6834	13702	18395	22318	46408	90662	5923	32131	1709
5	2160	5319	12071	4068	18521	63750	22476	5443	38744	1733
6	5060	5423	12545	6099	57088	77617	35582	41054	39978	1733
7	3319	3673	20635	14811	63461	71788	55248	40474	69427	14887
8	129978	1679	28839	44840	45969	66742	58785	54462	71805	12800
9	1862	1217	1658	4449	9177	3690	5489	1564	2627	1599
10	2195	28878	48712	42666	65406	48015	46072	49291	9124	1462
11	13957	47728	28005	14470	80206	49289	52290	44906	10757	1512
12	1359	9492	51606	12671	15477	56824	50543	4230	8600	2698
13	2723	6904	11260	19449	20571	45415	63920	8703	13940	4942
14	2167	4747	13544	6767	19310	50916	17674	6324	19922	11773
15	4554	2030	12025	5447	36638	56809	24422	28895	20423	9873
16	230422	3000	10873	19153	50052	50110	35453	26135	49803	10480
17	2334	2707	2193	3559	5498	3056	3674	3062	3600	1732
18	1531	24388	6658	66578	57938	33320	27166	55167	2296	1470
19	1551	31186	30569	54647	58033	40259	37252	41094	9543	7919
20	3316	52746	46751	13037	74441	45213	35850	38581	10434	1544
21	2002	8405	53243	17388	20852	56424	45217	5406	7745	4987
22	2789	7621	14574	12310	17414	45493	60823	5756	18105	3397
23	2111	6000	11668	4662	19685	60224	11550	3635	14721	68794
24	2327	4981	12447	3607	44620	62825	17641	18222	17075	39005
25	297631	2156	4129	1665	3220	1537	2019	211	4086	42676
