raw_spot__row	1	2	3	4	5	6	7	8	9	10
1	260402.0	9478.0	10792.0	6636.0	7533.0	6285.0	6396.0	15698.0	17990.0	848605.0
2	12010.0	15654.0	109549.0	29856.0	86499.0	51932.0	60919.0	691277.0	12621.0	7307.0
3	20354.0	131050.0	117519.0	30028.0	36274.0	94015.0	96109.0	9514.0	199162.0	4948.0
4	7353.0	65792.0	46601.0	32588.0	51863.0	63058.0	130838.0	14092.0	493297.0	11808.0
5	15014.0	74077.0	51810.0	13059.0	74644.0	92247.0	42456.0	12775.0	623533.0	13558.0
6	6035.0	98970.0	81821.0	10136.0	105543.0	110377.0	57282.0	50544.0	573203.0	13558.0
7	8364.0	7922.0	41220.0	13361.0	149513.0	74287.0	71431.0	76796.0	699089.0	221893.0
8	588607.0	4843.0	75912.0	105832.0	168717.0	121065.0	88534.0	71076.0	686465.0	240163.0
9	5057.0	3215.0	9325.0	2923.0	3464.0	5927.0	7934.0	14213.0	11757.0	12830.0
10	10499.0	85117.0	107234.0	127224.0	73185.0	61823.0	69508.0	720444.0	211653.0	9529.0
11	8974.0	130508.0	110630.0	18048.0	82308.0	57651.0	71393.0	588374.0	234322.0	6956.0
12	4346.0	45474.0	146555.0	20060.0	36076.0	79860.0	87298.0	10095.0	201248.0	6062.0
13	13185.0	57450.0	56324.0	26042.0	68684.0	48889.0	106520.0	9525.0	517205.0	15928.0
14	7195.0	63265.0	64998.0	6690.0	80992.0	79293.0	29974.0	12176.0	519335.0	57176.0
15	5032.0	13757.0	81665.0	11155.0	109933.0	93375.0	43990.0	42889.0	428355.0	67738.0
16	443239.0	5398.0	32158.0	17849.0	116923.0	58106.0	48363.0	49271.0	555440.0	71879.0
17	3501.0	3835.0	12282.0	6496.0	104330.0	3747.0	3701.0	5936.0	5775.0	5934.0
18	9635.0	44852.0	14268.0	102035.0	35165.0	46660.0	47956.0	578368.0	8059.0	12718.0
19	7522.0	75902.0	111158.0	129895.0	64662.0	45278.0	57518.0	619734.0	206289.0	4090.0
20	7803.0	212193.0	120221.0	15983.0	98174.0	53610.0	54507.0	630505.0	210787.0	8874.0
21	8614.0	64978.0	173794.0	17232.0	38543.0	55524.0	60786.0	16249.0	236448.0	4803.0
22	9009.0	57604.0	53971.0	22864.0	55979.0	45142.0	68374.0	11153.0	473094.0	3519.0
23	10918.0	57142.0	85348.0	18427.0	90969.0	62965.0	20873.0	22490.0	487050.0	170826.0
24	11074.0	7904.0	82140.0	10476.0	102269.0	90215.0	28990.0	39000.0	536436.0	266197.0
25	351520.0	4146.0	14550.0	4947.0	4870.0	4378.0	4499.0	6447.0	9085.0	217332.0
