ID	Row	Column	Name	Block
0	1	1	*A/Beijing/32/1992(H3N2)-2017-07-05-1.0*	1
1	1	2	*A/Beijing/32/1992(H3N2)-2017-07-05-0.5*	1
2	1	3	*A/Beijing/32/1992(H3N2)-2017-07-05-0.25*	1
3	1	4	*A/Beijing/32/1992(H3N2)-2017-07-05-0.5*	1
4	1	5	*A/Beijing/32/1992(H3N2)-2017-07-05-0.25*	1
5	1	6	*A/Beijing/32/1992(H3N2)-2017-07-05-0.125*	1
6	1	7	*A/Beijing/32/1992(H3N2)-2017-07-05-0.109375*	1
7	1	8	*A/Beijing/32/1992(H3N2)-2017-07-05-0.0546875*	1
8	1	9	*A/Beijing/32/1992(H3N2)-2017-07-05-0.0275590551*	1
9	1	10	*A/Beijing/32/1992(H3N2)-2017-07-05-0.01953125*	1
10	1	11	*A/Beijing/32/1992(H3N2)-2017-07-05-0.009765625*	1
11	1	12	*A/Beijing/32/1992(H3N2)-2017-07-05-0.0047984645*	1
12	2	1	*A/Beijing/32/1992(H3N2)-2017-07-05-1.0*	1
13	2	2	*A/Beijing/32/1992(H3N2)-2017-07-05-0.5*	1
14	2	3	*A/Beijing/32/1992(H3N2)-2017-07-05-0.25*	1
15	2	4	*A/Beijing/32/1992(H3N2)-2017-07-05-0.5*	1
16	2	5	*A/Beijing/32/1992(H3N2)-2017-07-05-0.25*	1
17	2	6	*A/Beijing/32/1992(H3N2)-2017-07-05-0.125*	1
18	2	7	*A/Beijing/32/1992(H3N2)-2017-07-05-0.109375*	1
19	2	8	*A/Beijing/32/1992(H3N2)-2017-07-05-0.0546875*	1
20	2	9	*A/Beijing/32/1992(H3N2)-2017-07-05-0.0275590551*	1
21	2	10	*A/Beijing/32/1992(H3N2)-2017-07-05-0.01953125*	1
22	2	11	*A/Beijing/32/1992(H3N2)-2017-07-05-0.009765625*	1
23	2	12	*A/Beijing/32/1992(H3N2)-2017-07-05-0.0047984645*	1
24	3	1	*A/Brisbane/10/2007(H3N2)-2017-07-05-1.0*	1
25	3	2	*A/Brisbane/10/2007(H3N2)-2017-07-05-0.5*	1
26	3	3	*A/Brisbane/10/2007(H3N2)-2017-07-05-0.25*	1
27	3	4	*A/Brisbane/10/2007(H3N2)-2017-07-05-0.5*	1
28	3	5	*A/Brisbane/10/2007(H3N2)-2017-07-05-0.25*	1
29	3	6	*A/Brisbane/10/2007(H3N2)-2017-07-05-0.125*	1
30	3	7	*A/Brisbane/10/2007(H3N2)-2017-07-05-0.109375*	1
31	3	8	*A/Brisbane/10/2007(H3N2)-2017-07-05-0.0546875*	1
32	3	9	*A/Brisbane/10/2007(H3N2)-2017-07-05-0.0275590551*	1
