step	index	user	start	comment	image	intensities
IA01	0	ssaenger	2017.09.27 09:30			
B01	1	ssaenger	2017.09.27 10:30			
I03	2	ssaenger	2017.09.27 10:30			
W01	3	ssaenger	2017.09.27 11:30			
W01	4	ssaenger	2017.09.27 10:35			
W01	5	ssaenger	2017.09.27 10:40			
I06	6	ssaenger	2017.09.27 10:45			
W01	7	ssaenger	2017.09.27 12:45			
W01	8	ssaenger	2017.09.27 12:50			
W01	9	ssaenger	2017.09.27 12:55			
I016	10	ssaenger	2017.09.27 01:00			
I017	11	ssaenger	2017.09.27 01:10			
SC01	12	ssaenger	2017.09.27 02:00			intensity.tsv
