sid	labeling	concentration	concentration_unit	buffer	ph	purity	produced_by	production_date	comment	stock	ligand
LF	Dye634	1	Stock 1	Natriumhydrogencarbonat			Bay			True	LF
P001		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P001
P002		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P002
P003		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P003
P004		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P004
P005		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P005
P006		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P006
P007		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P007
P008		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P008
P009		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P009
P010		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P010
P011		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P011
P012		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P012
P013		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P013
P014		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P014
P015		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P015
P016		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P016
P017		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P017
P018		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P018
P019		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P019
P020		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P020
P021		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P021
P022		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P022
P023		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P023
P024		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P024
P025		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P025
P026		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P026
P027		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P027
P028		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P028
P029		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P029
P030		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P030
P031		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P031
P032		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P032
P033		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P033
P034		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P034
P035		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P035
P036		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P036
P037		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P037
P038		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P038
P039		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P039
P040		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P040
P041		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P041
P042		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P042
P043		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P043
P044		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P044
P045.3		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P045.3
P046		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P046
P047		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P047
P048		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P048
P049		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P049
P050		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P050
P051		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P051
P052		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P052
P053		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P053
P054		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P054
P055		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P055
P056		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P056
P057		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P057
P058		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P058
P059		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P059
P060		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P060
P061		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P061
P062		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P062
P063		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P063
P064		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P064
P065		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P065
P066		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P066
P067		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P067
P068		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P068
P069		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P069
P070		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P070
P071		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P071
P072		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P072
P073		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P073
P074		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P074
P075		1	Stock 1	Natriumhydrogencarbonat			Bay			True	P075
