Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	5003023	3345461	2342315	2804755	5067267	1307046	1315205	1049631	882838	341886	292419	10091437	6327231	254115	15393968
2	30915610	3102101	742382	12093142	22618212	3044260	1330095	661190	325746	397220	236695	40233910	22099441	291602	73471948
3	3313787	4981136	1003546	51561114	62166263	616415	3285260	1359570	1029778	246815	747378	403645	385519	379720	243459
4	76584238	1428018	5152442	866813	763270	586353	284785	448286	481572	320163	35859253	19630723	678541	16229305	567440
5	4343690	4410153	804029	1800761	16637600	3129972	1058292	310394	1093825	390842	837897	479670	226915	217713	220201
6	516818	504837	15884896	604145	972480	1475266	413991	550356	618510	3447535	216176	296964	276512	258014	234303
7	7269949	641378	484245	2088253	2916524	1745357	1259446	66446555	1203556	2219471	412273	1517801	296614	255022	3877942
8	4990480	1138618	8389690	36696655	3426022	1785236	19252701	28451275	18387950	1841497	1118696	553625	429343	291205	32106883
9	35892398	1908634	56820006	6091130	5125386	993368	21123343	53702390	998051	3274245	1484196	982306	309845	1433714	544976
10	1097587	795926	600921	76099262	1835957	3674834	1067280	730958	1165945	475277	520639	553984	368356	30461036	10568054
11	2339372	27472010	2976132	5196203	4353734	525096	1989330	13003470	3439746	1385628	333368	978631	509861	974624	399506
12	339504	526371	388756	1432014	481101	2601209	1737306	1034922	1252768	756559	682094	534628	1277970	364241	386286
13	490882	586818	528511	2891795	542152	922741	39388655	2986037	1886740	3419286	55221070	5299906	2117271	663007	1851508
14	522697	430719	15385598	16742429	1102503	486916	41231622	4081093	1913882	26530753	34592340	17517210	2086302	1422501	977343
15	761398	778007	45425752	46748463	2866203	61305157	6053682	5325352	1104448	14405351	59172942	723573	2646652	1543316	1233064
16	1385568	4910802	3291359	3561813	1007406	1221781	79125514	2904358	2724611	1128575	613805	1202716	893408	1310554	1682342
17	998702	43143246	40031813	6651388	35539705	4828253	4765193	4824176	998500	2388167	783749	2607519	1635675	666498	1027060
18	820620	2777887	2007394	2433709	643806	932759	2425348	1008875	3961313	7874348	652176	1863166	636063	983373	882875
19	2641021	946604	1142120	673586	765669	568766	4657742	1236073	837013	57348071	2690700	1491845	4635089	49236323	2183633
20	4200975	1434447	3977675	700271	510189	6305293	10383291	1492133	864922	41987494	3534517	1336505	28622081	34232815	9876181
21	2854327	2838148	1999368	900385	970437	41475904	48913963	2975453	57931107	3230236	3877649	1219591	8111644	43373172	1652071
22	4225821	3458188	2275178	1247095	4759265	3335930	1554115	2314781	1416311	79516041	2167702	15347317	903071	1482839	2562505
23	1581931	1960197	3862948	2278699	62792390	41012787	4501064	37309879	3611807	5361330	4754968	679995	2019536	1855085	3161145
24	2025066	1855127	2480610	1782139	9069282	1548160	378087	481827	488901	3324468	3560167	3196537	4516309	2314533	2338091
25	569334	3946160	1584525	3064322	1437594	1348320	560482	693505	461617	3516842	773276	1211430	47384011	3522302	2421764
26	900456	59056130	2520370	4795703	1703935	4371838	690800	600384	1399910	2400735	1549451	1189824	38196845	3920809	2294912
27	27446197	34822065	9964028	3891158	3093904	2361720	1287953	1204768	43048973	40048340	3284722	55854262	4026423	3713083	1385855
28	7666008	51156557	1583062	5425808	6661937	2701152	1848153	5281342	4162860	2843462	2099629	1497823	66017665	1973538	1899472
29	1426663	3723794	2158588	2132802	2520949	2260130	2426133	34104441	29965895	5243153	17455191	2978354	4018687	3274876	693445
