old	new
LF	LF
blank	
Pep_80	P080
Pep_81	P081
Pep_82	P082
Pep_83	P083
Pep_84	P084
Pep_86	P086
Pep_88	P088
Pep_89	P089
Pep_90	P090
Pep_91	P091
Pep_94	P094
Pep_95	P095
Pep_96	P096
Pep_98	P098
Pep_100	P100
Pep_101	P101
Pep_102	P102
Pep_103	P103
Pep_104	P104
Pep_105	P105
Pep_106	P106
Pep_7	P007
Pep_8	P008
Pep_9	P009
Pep_10	P010
Pep_12	P012
Pep_13	P013
Nenad	Nenad
Pep_43	P043
Pep_44	P044
Pep_45 III	P045.3
Pep_47	P047
Pep_48	P048
Pep_50	P050
Pep_52	P052
Pep_54	P054
Pep_55	P055
Pep_56	P056
Pep_57	P057
Pep_59	P059
Pep_60	P060
Pep_61	P061
Pep_63	P063
Pep_65	P065
Pep_66	P066
Pep_67	P067
Pep_68	P068
Pep_69	P069
Pep_70	P070
Pep_71	P071
Pep_72	P072
Pep_73	P073
Pep_74	P074
Pep_75	P075
Pep_76	P076
Pep_77	P077
Pep_136	P136
Pep_131.2	P131.2
Pep_114	P114
Pep_115	P115
Pep_131.1	P131.1
Pep_132	P132
Pep_133	P133
Pep_116	P116
Pep_134	P134
Pep_117	P117
Pep_118	P118
Pep_119	P119
Pep_128	P128
Pep_135	P135
Pep_120	P120
Pep_121	P121
Pep_122	P122
Pep_123	P123
Pep_124	P124
Pep_125	P125
Pep_130	P130
Pep_127	P127
Kloes?re	P030
Kloeamind	P031
AK x31 3125	AK_X31_3125
AK Cal 28666	AK_Cal_28666
AK Cal 28667	AK_Cal_28667
NO	
P10100	P010-1
P10050	P010-0.5
P10025	P010-0.25
1.0_pep11	P011-1
0.5_pep11	P011-0.5
0.25_pep11	P011-0.25
1.0_pep12	P012-1
0.5_pep12	P012-0.5
0.25_pep12	P012-0.25
1.0_pep13	P013-1
0.5_pep13	P013-0.5
0.25_pep13	P013-0.25
1.0_pep14	P014-1
0.5_pep14	P014-0.5
0.25_pep14	P014-0.25
P001-1	P001-1
P001-05	P001-0.5
P001-025	P001-0.25
1.0_pep49	P049-1
0.5_pep49	P049-0.5
0.25_pep49	P049-0.25
1.0_pep50	P050-1
0.5_pep50	P050-0.5
0.25_pep50	P050-0.25
1.0_pep52	P052-1
0.5_pep52	P052-0.5
0.25_pep52	P052-0.25
1.0_pep61	P061-1
0.5_pep61	P061-0.5
0.25_pep61	P061-0.25
DYE100	LF-1
DYE050	LF-0.5
DYE025	LF-0.25
