Row	1	2	3	4	5	6	7	8	9	10
1	203811	179316	176874	157295	159177	225631	140225	150651	139705	148351
2	183695	163683	127200	161823	169679	152554	141756	122870	102372	130857
3	120442	153981	154060	139892	127444	137822	115285	99011	192962	204824
4	243927	243152	229516	223688	191149	154963	124666	112201	125591	102482
5	146716	171605	206202	307041	271221	203833	251203	165888	145561	129167
6	189149	235783	268024	309829	215019	204107	195897	174950	211202	175468
7	191012	437984	572418	422515	383530	266786	258361	151465	188600	186738
8	294081	329954	275284	221462	203424	181955	333482	224690	220658	219666
9	313079	329281	252849	203812	211019	257108	193791	239311	253014	200469
10	219410	230012	201631	203897	407242	522026	334184	235257	177963	227556
11	234282	191238	190639	258622	247676	207259	221525	164970	153040	171511
12	210753	175110	173797	167174	211845	189008	213228	169051	173855	161843
13	208783	212655	219143	187101	209524	236825	205047	241122	184056	202412
14	246499	243591	250369	266165	241312	251805	210211	220530	216973	217491
15	181842	209967	193654	199740	207283	282330	223616	219558	578922	478458
16	407029	326886	287728	275113	257432	269161	245496	323454	300528	209271
17	161312	167381	196340	429614	314201	279702	350607	274249	273063	213716
18	167736	190859	195076	198986	213017	236099	243300	233452	287086	282264
19	184429	468900	481234	416621	319165	310729	314969	283956	276074	295506
20	287137	245343	212966	173604	175265	197156	318472	255487	245296	397940
21	280552	262902	249250	222338	230970	208585	207624	220868	210924	256180
22	238421	283510	254510	250468	512327	462062	393661	307200	250407	304244
23	229387	214329	256330	346354	300239	228670	168055	148457	164613	227634
24	185335	181101	201810	235267	241988	218004	187164	170244	193071	208186
25	127613	179963	140085	163449	187443	192269	187143	194058	169243	227117
26	178171	201340	192734	223893	195546	190859	185599	202883	188934	197182
27	137516	137355	207831	149784	158826	190502	201245	211283	449379	465941
28	239618	176930	213329	203855	185400	180478	232706	300687	194360	158704
29	93862	97750	126353	234483	191268	202726	337377	262281	171839	135860
30	114750	109565	155298	169824	140496	151527	192555	212612	192613	173930
31	111259	237803	292664	280529	176449	158054	193485	218829	185100	168726
32	116631	107132	159959	152697	130315	142571	220379	198989	171017	189335
33	124040	117408	177049	171802	161804	169950	180651	184036	184899	183491
34	107728	132082	201829	169222	370555	373869	247762	272996	207705	232935
35	114118	171044	152102	142345	144967	190544	134300	119414	133593	196390
36	135085	134246	130137	157116	116651	101888	120145	133262	160034	191304
