Row	1	2	3	4	5	6	7	8	9	10
1	207673	200479	188285	235869	272103	268869	236352	250106	294048	285226
2	339995	284454	254036	471264	348925	315755	397386	376110	301467	304504
3	184272	212363	333638	326071	288396	360609	331860	307293	735833	600528
4	268142	533459	474761	397661	487284	364828	348990	587054	484130	504912
5	210777	252152	304969	585548	394574	378253	567420	423021	312607	541376
6	208034	235374	302464	257043	307657	498277	354187	326390	350661	297840
7	197051	602998	501097	375027	795804	597057	403790	499377	360988	261062
8	384049	454943	450204	393970	323124	372060	614220	485554	335538	502560
9	319873	264387	423132	325655	300119	329810	351776	431941	463689	283825
10	263114	328362	288607	256178	584139	443158	436878	866177	620502	372331
11	423576	336016	291404	507429	480764	423447	448874	399284	378556	252482
12	250319	234927	247503	245881	235062	241327	337549	400744	315913	260121
13	283434	287090	249491	237846	240091	258024	318479	328686	333855	306302
14	562109	415914	324392	526765	357120	322344	447559	396131	387038	362966
15	286621	306001	473666	334676	307162	378298	378609	383933	787216	682899
16	407893	825324	557842	414651	483376	368738	355020	617042	667727	588913
17	444872	380104	401986	651913	465227	360391	600711	493444	476410	552004
18	344304	352621	348389	336556	323319	461521	393933	363455	514647	482732
19	297060	705779	542667	448958	703833	547679	466389	558520	463684	467322
20	574448	818112	514860	388176	380040	374683	777175	472434	409033	688084
21	386722	301605	391406	378550	362962	292873	352689	416096	522732	482763
22	295304	362363	312539	278213	764522	564397	489178	878501	677891	564799
23	493446	371142	286366	525547	478985	509503	497844	461819	507252	380770
24	232683	231590	233349	234076	242322	247907	310428	392761	346917	358472
25	233493	235421	239217	236100	272897	288619	291349	297428	299701	352548
26	643054	479329	386358	610324	425253	358081	478471	380679	357308	392873
27	284370	329988	541929	476732	316201	409250	378447	343939	977881	709017
28	485391	858276	624563	505481	547647	412159	375018	549975	563846	594600
29	491117	410863	413129	680417	460529	381615	517566	427050	352320	538383
30	403534	361199	376154	349240	282114	484636	397962	301600	410865	463688
31	359664	782784	604249	492732	920900	627355	436581	527913	372582	453288
32	614143	524768	522491	511316	427622	433286	577620	399958	383498	825870
33	421457	360955	399636	452360	390402	397404	302679	303890	485485	740677
34	340793	413022	337209	365614	704815	626716	537604	772219	730828	722669
35	382966	382271	279821	522621	458268	575556	540220	475491	473568	347117
36	515282	352583	324711	391440	612129	457840	367397	368757	358779	504831
