ID	Block	Row	Column	Name
0	1	1	1	
1	1	1	2	
2	1	1	3	
3	1	1	4	
4	1	1	5	
5	1	1	6	
6	1	1	7	
7	1	1	8	
8	1	1	9	
9	1	1	10	
10	1	2	1	P010-1
11	1	2	2	P010-0.5
12	1	2	3	P010-0.25
13	1	2	4	P011-1
14	1	2	5	P011-0.5
15	1	2	6	P011-0.25
16	1	2	7	P012-1
17	1	2	8	P012-0.5
18	1	2	9	P012-0.25
19	1	2	10	P013-1
20	1	3	1	P013-0.5
21	1	3	2	P013-0.25
22	1	3	3	P014-1
23	1	3	4	P014-0.5
24	1	3	5	P014-0.25
25	1	3	6	P001-1
26	1	3	7	P001-0.5
27	1	3	8	P001-0.25
28	1	3	9	P049-1
29	1	3	10	P049-0.5
30	1	4	1	P049-0.25
31	1	4	2	P050-1
32	1	4	3	P050-0.5
33	1	4	4	P050-0.25
34	1	4	5	P052-1
35	1	4	6	P052-0.5
36	1	4	7	P052-0.25
37	1	4	8	P061-1
38	1	4	9	P061-0.5
39	1	4	10	P061-0.25
40	1	5	1	LF-1
41	1	5	2	LF-0.5
42	1	5	3	LF-0.25
43	1	5	4	P010-1
44	1	5	5	P010-0.5
45	1	5	6	P010-0.25
46	1	5	7	P011-1
47	1	5	8	P011-0.5
48	1	5	9	P011-0.25
49	1	5	10	P012-1
50	1	6	1	P012-0.5
51	1	6	2	P012-0.25
52	1	6	3	P013-1
53	1	6	4	P013-0.5
54	1	6	5	P013-0.25
55	1	6	6	P014-1
56	1	6	7	P014-0.5
57	1	6	8	P014-0.25
58	1	6	9	P001-1
59	1	6	10	P001-0.5
60	1	7	1	P001-0.25
61	1	7	2	P049-1
62	1	7	3	P049-0.5
63	1	7	4	P049-0.25
64	1	7	5	P050-1
65	1	7	6	P050-0.5
66	1	7	7	P050-0.25
67	1	7	8	P052-1
68	1	7	9	P052-0.5
69	1	7	10	P052-0.25
70	1	8	1	P061-1
71	1	8	2	P061-0.5
72	1	8	3	P061-0.25
73	1	8	4	LF-1
74	1	8	5	LF-0.5
75	1	8	6	LF-0.25
76	1	8	7	P010-1
77	1	8	8	P010-0.5
78	1	8	9	P010-0.25
79	1	8	10	P011-1
80	1	9	1	P011-0.5
81	1	9	2	P011-0.25
82	1	9	3	P012-1
83	1	9	4	P012-0.5
84	1	9	5	P012-0.25
85	1	9	6	P013-1
86	1	9	7	P013-0.5
87	1	9	8	P013-0.25
88	1	9	9	P014-1
89	1	9	10	P014-0.5
90	1	10	1	P014-0.25
