ID	Block	Row	Column	Name
0	1	1	1	A/Panama/2007/1999(H3N2)-2017
1	1	1	2	A/Panama/2007/1999(H3N2)-2017
2	1	1	3	A/Panama/2007/1999(H3N2)-2017
3	1	1	4	A/Panama/2007/1999(H3N2)-2017
4	1	1	5	A/Panama/2007/1999(H3N2)-2017
5	1	1	6	A/Panama/2007/1999(H3N2)-2017
6	1	1	7	A/Panama/2007/1999(H3N2)-2017
7	1	1	8	A/Panama/2007/1999(H3N2)-2017
8	1	1	9	A/Panama/2007/1999(H3N2)-2017
9	1	1	10	A/Panama/2007/1999(H3N2)-2017
10	1	2	1	A/Panama/2007/1999(H3N2)-2017
11	1	2	2	A/Panama/2007/1999(H3N2)-2017
12	1	2	3	A/Panama/2007/1999(H3N2)-2017
13	1	2	4	A/Panama/2007/1999(H3N2)-2017
14	1	2	5	A/Panama/2007/1999(H3N2)-2017
15	1	2	6	A/Panama/2007/1999(H3N2)-2017
16	1	2	7	A/Panama/2007/1999(H3N2)-2017
17	1	2	8	A/Panama/2007/1999(H3N2)-2017
18	1	2	9	A/Panama/2007/1999(H3N2)-2017
19	1	2	10	A/Panama/2007/1999(H3N2)-2017
20	1	3	1	A/Panama/2007/1999(H3N2)-2017
21	1	3	2	A/Panama/2007/1999(H3N2)-2017
22	1	3	3	A/Panama/2007/1999(H3N2)-2017
23	1	3	4	A/Panama/2007/1999(H3N2)-2017
24	1	3	5	A/Panama/2007/1999(H3N2)-2017
25	1	3	6	A/Panama/2007/1999(H3N2)-2017
26	1	3	7	A/Panama/2007/1999(H3N2)-2017
27	1	3	8	A/Panama/2007/1999(H3N2)-2017
28	1	3	9	A/Panama/2007/1999(H3N2)-2017
29	1	3	10	A/Panama/2007/1999(H3N2)-2017
30	1	4	1	A/Panama/2007/1999(H3N2)-2017
31	1	4	2	A/Panama/2007/1999(H3N2)-2017
32	1	4	3	A/Panama/2007/1999(H3N2)-2017
33	1	4	4	A/Panama/2007/1999(H3N2)-2017
34	1	4	5	A/Panama/2007/1999(H3N2)-2017
35	1	4	6	A/Panama/2007/1999(H3N2)-2017
36	1	4	7	A/Panama/2007/1999(H3N2)-2017
37	1	4	8	A/Panama/2007/1999(H3N2)-2017
38	1	4	9	A/Panama/2007/1999(H3N2)-2017
39	1	4	10	A/Panama/2007/1999(H3N2)-2017
40	1	5	1	A/Panama/2007/1999(H3N2)-2017
41	1	5	2	A/Panama/2007/1999(H3N2)-2017
42	1	5	3	A/Panama/2007/1999(H3N2)-2017
43	1	5	4	A/Panama/2007/1999(H3N2)-2017
44	1	5	5	A/Panama/2007/1999(H3N2)-2017
45	1	5	6	A/Panama/2007/1999(H3N2)-2017
46	1	5	7	A/Panama/2007/1999(H3N2)-2017
47	1	5	8	A/Panama/2007/1999(H3N2)-2017
48	1	5	9	A/Panama/2007/1999(H3N2)-2017
49	1	5	10	A/Panama/2007/1999(H3N2)-2017
50	1	6	1	A/Panama/2007/1999(H3N2)-2017
51	1	6	2	A/Panama/2007/1999(H3N2)-2017
52	1	6	3	A/Panama/2007/1999(H3N2)-2017
53	1	6	4	A/Panama/2007/1999(H3N2)-2017
54	1	6	5	A/Panama/2007/1999(H3N2)-2017
55	1	6	6	A/Panama/2007/1999(H3N2)-2017
56	1	6	7	A/Panama/2007/1999(H3N2)-2017
57	1	6	8	A/Panama/2007/1999(H3N2)-2017
58	1	6	9	A/Panama/2007/1999(H3N2)-2017
59	1	6	10	A/Panama/2007/1999(H3N2)-2017
60	1	7	1	A/Panama/2007/1999(H3N2)-2017
61	1	7	2	A/Panama/2007/1999(H3N2)-2017
62	1	7	3	A/Panama/2007/1999(H3N2)-2017
63	1	7	4	A/Panama/2007/1999(H3N2)-2017
64	1	7	5	A/Panama/2007/1999(H3N2)-2017
65	1	7	6	A/Panama/2007/1999(H3N2)-2017
66	1	7	7	A/Panama/2007/1999(H3N2)-2017
67	1	7	8	A/Panama/2007/1999(H3N2)-2017
68	1	7	9	A/Panama/2007/1999(H3N2)-2017
69	1	7	10	A/Panama/2007/1999(H3N2)-2017
70	1	8	1	A/Panama/2007/1999(H3N2)-2017
71	1	8	2	A/Panama/2007/1999(H3N2)-2017
72	1	8	3	A/Panama/2007/1999(H3N2)-2017
73	1	8	4	A/Panama/2007/1999(H3N2)-2017
74	1	8	5	A/Panama/2007/1999(H3N2)-2017
75	1	8	6	A/Panama/2007/1999(H3N2)-2017
76	1	8	7	A/Panama/2007/1999(H3N2)-2017
77	1	8	8	A/Panama/2007/1999(H3N2)-2017
78	1	8	9	A/Panama/2007/1999(H3N2)-2017
79	1	8	10	A/Panama/2007/1999(H3N2)-2017
80	1	9	1	A/Panama/2007/1999(H3N2)-2017
81	1	9	2	A/Panama/2007/1999(H3N2)-2017
82	1	9	3	A/Panama/2007/1999(H3N2)-2017
83	1	9	4	A/Panama/2007/1999(H3N2)-2017
84	1	9	5	A/Panama/2007/1999(H3N2)-2017
85	1	9	6	A/Panama/2007/1999(H3N2)-2017
86	1	9	7	A/Panama/2007/1999(H3N2)-2017
87	1	9	8	A/Panama/2007/1999(H3N2)-2017
88	1	9	9	A/Panama/2007/1999(H3N2)-2017
89	1	9	10	A/Panama/2007/1999(H3N2)-2017
90	1	10	1	A/Panama/2007/1999(H3N2)-2017
91	1	10	2	A/Panama/2007/1999(H3N2)-2017
92	1	10	3	A/Panama/2007/1999(H3N2)-2017
93	1	10	4	A/Panama/2007/1999(H3N2)-2017
94	1	10	5	A/Panama/2007/1999(H3N2)-2017
95	1	10	6	A/Panama/2007/1999(H3N2)-2017
96	1	10	7	A/Panama/2007/1999(H3N2)-2017
97	1	10	8	A/Panama/2007/1999(H3N2)-2017
98	1	10	9	A/Panama/2007/1999(H3N2)-2017
99	1	10	10	A/Panama/2007/1999(H3N2)-2017
100	1	11	1	A/Panama/2007/1999(H3N2)-2017
101	1	11	2	A/Panama/2007/1999(H3N2)-2017
102	1	11	3	A/Panama/2007/1999(H3N2)-2017
103	1	11	4	A/Panama/2007/1999(H3N2)-2017
104	1	11	5	A/Panama/2007/1999(H3N2)-2017
105	1	11	6	A/Panama/2007/1999(H3N2)-2017
106	1	11	7	A/Panama/2007/1999(H3N2)-2017
107	1	11	8	A/Panama/2007/1999(H3N2)-2017
108	1	11	9	A/Panama/2007/1999(H3N2)-2017
109	1	11	10	A/Panama/2007/1999(H3N2)-2017
110	1	12	1	A/Panama/2007/1999(H3N2)-2017
111	1	12	2	A/Panama/2007/1999(H3N2)-2017
112	1	12	3	A/Panama/2007/1999(H3N2)-2017
113	1	12	4	A/Panama/2007/1999(H3N2)-2017
114	1	12	5	A/Panama/2007/1999(H3N2)-2017
115	1	12	6	A/Panama/2007/1999(H3N2)-2017
116	1	12	7	A/Panama/2007/1999(H3N2)-2017
117	1	12	8	A/Panama/2007/1999(H3N2)-2017
118	1	12	9	A/Panama/2007/1999(H3N2)-2017
119	1	12	10	A/Panama/2007/1999(H3N2)-2017
120	2	13	1	A/Panama/2007/1999(H3N2)-2017
121	2	13	2	A/Panama/2007/1999(H3N2)-2017
122	2	13	3	A/Panama/2007/1999(H3N2)-2017
123	2	13	4	A/Panama/2007/1999(H3N2)-2017
124	2	13	5	A/Panama/2007/1999(H3N2)-2017
125	2	13	6	A/Panama/2007/1999(H3N2)-2017
126	2	13	7	A/Panama/2007/1999(H3N2)-2017
127	2	13	8	A/Panama/2007/1999(H3N2)-2017
128	2	13	9	A/Panama/2007/1999(H3N2)-2017
129	2	13	10	A/Panama/2007/1999(H3N2)-2017
130	2	14	1	A/Panama/2007/1999(H3N2)-2017
131	2	14	2	A/Panama/2007/1999(H3N2)-2017
132	2	14	3	A/Panama/2007/1999(H3N2)-2017
133	2	14	4	A/Panama/2007/1999(H3N2)-2017
134	2	14	5	A/Panama/2007/1999(H3N2)-2017
135	2	14	6	A/Panama/2007/1999(H3N2)-2017
136	2	14	7	A/Panama/2007/1999(H3N2)-2017
137	2	14	8	A/Panama/2007/1999(H3N2)-2017
138	2	14	9	A/Panama/2007/1999(H3N2)-2017
139	2	14	10	A/Panama/2007/1999(H3N2)-2017
140	2	15	1	A/Panama/2007/1999(H3N2)-2017
141	2	15	2	A/Panama/2007/1999(H3N2)-2017
142	2	15	3	A/Panama/2007/1999(H3N2)-2017
143	2	15	4	A/Panama/2007/1999(H3N2)-2017
144	2	15	5	A/Panama/2007/1999(H3N2)-2017
145	2	15	6	A/Panama/2007/1999(H3N2)-2017
146	2	15	7	A/Panama/2007/1999(H3N2)-2017
147	2	15	8	A/Panama/2007/1999(H3N2)-2017
148	2	15	9	A/Panama/2007/1999(H3N2)-2017
149	2	15	10	A/Panama/2007/1999(H3N2)-2017
150	2	16	1	A/Panama/2007/1999(H3N2)-2017
151	2	16	2	A/Panama/2007/1999(H3N2)-2017
152	2	16	3	A/Panama/2007/1999(H3N2)-2017
153	2	16	4	A/Panama/2007/1999(H3N2)-2017
154	2	16	5	A/Panama/2007/1999(H3N2)-2017
155	2	16	6	A/Panama/2007/1999(H3N2)-2017
156	2	16	7	A/Panama/2007/1999(H3N2)-2017
157	2	16	8	A/Panama/2007/1999(H3N2)-2017
158	2	16	9	A/Panama/2007/1999(H3N2)-2017
159	2	16	10	A/Panama/2007/1999(H3N2)-2017
160	2	17	1	A/Panama/2007/1999(H3N2)-2017
161	2	17	2	A/Panama/2007/1999(H3N2)-2017
162	2	17	3	A/Panama/2007/1999(H3N2)-2017
163	2	17	4	A/Panama/2007/1999(H3N2)-2017
164	2	17	5	A/Panama/2007/1999(H3N2)-2017
165	2	17	6	A/Panama/2007/1999(H3N2)-2017
166	2	17	7	A/Panama/2007/1999(H3N2)-2017
167	2	17	8	A/Panama/2007/1999(H3N2)-2017
168	2	17	9	A/Panama/2007/1999(H3N2)-2017
169	2	17	10	A/Panama/2007/1999(H3N2)-2017
170	2	18	1	A/Panama/2007/1999(H3N2)-2017
171	2	18	2	A/Panama/2007/1999(H3N2)-2017
172	2	18	3	A/Panama/2007/1999(H3N2)-2017
173	2	18	4	A/Panama/2007/1999(H3N2)-2017
174	2	18	5	A/Panama/2007/1999(H3N2)-2017
175	2	18	6	A/Panama/2007/1999(H3N2)-2017
176	2	18	7	A/Panama/2007/1999(H3N2)-2017
177	2	18	8	A/Panama/2007/1999(H3N2)-2017
178	2	18	9	A/Panama/2007/1999(H3N2)-2017
179	2	18	10	A/Panama/2007/1999(H3N2)-2017
180	2	19	1	A/Panama/2007/1999(H3N2)-2017
181	2	19	2	A/Panama/2007/1999(H3N2)-2017
182	2	19	3	A/Panama/2007/1999(H3N2)-2017
183	2	19	4	A/Panama/2007/1999(H3N2)-2017
184	2	19	5	A/Panama/2007/1999(H3N2)-2017
185	2	19	6	A/Panama/2007/1999(H3N2)-2017
186	2	19	7	A/Panama/2007/1999(H3N2)-2017
187	2	19	8	A/Panama/2007/1999(H3N2)-2017
188	2	19	9	A/Panama/2007/1999(H3N2)-2017
189	2	19	10	A/Panama/2007/1999(H3N2)-2017
190	2	20	1	A/Panama/2007/1999(H3N2)-2017
191	2	20	2	A/Panama/2007/1999(H3N2)-2017
192	2	20	3	A/Panama/2007/1999(H3N2)-2017
193	2	20	4	A/Panama/2007/1999(H3N2)-2017
194	2	20	5	A/Panama/2007/1999(H3N2)-2017
195	2	20	6	A/Panama/2007/1999(H3N2)-2017
196	2	20	7	A/Panama/2007/1999(H3N2)-2017
197	2	20	8	A/Panama/2007/1999(H3N2)-2017
198	2	20	9	A/Panama/2007/1999(H3N2)-2017
199	2	20	10	A/Panama/2007/1999(H3N2)-2017
200	2	21	1	A/Panama/2007/1999(H3N2)-2017
201	2	21	2	A/Panama/2007/1999(H3N2)-2017
202	2	21	3	A/Panama/2007/1999(H3N2)-2017
203	2	21	4	A/Panama/2007/1999(H3N2)-2017
204	2	21	5	A/Panama/2007/1999(H3N2)-2017
205	2	21	6	A/Panama/2007/1999(H3N2)-2017
206	2	21	7	A/Panama/2007/1999(H3N2)-2017
207	2	21	8	A/Panama/2007/1999(H3N2)-2017
208	2	21	9	A/Panama/2007/1999(H3N2)-2017
209	2	21	10	A/Panama/2007/1999(H3N2)-2017
210	2	22	1	A/Panama/2007/1999(H3N2)-2017
211	2	22	2	A/Panama/2007/1999(H3N2)-2017
212	2	22	3	A/Panama/2007/1999(H3N2)-2017
213	2	22	4	A/Panama/2007/1999(H3N2)-2017
214	2	22	5	A/Panama/2007/1999(H3N2)-2017
215	2	22	6	A/Panama/2007/1999(H3N2)-2017
216	2	22	7	A/Panama/2007/1999(H3N2)-2017
217	2	22	8	A/Panama/2007/1999(H3N2)-2017
218	2	22	9	A/Panama/2007/1999(H3N2)-2017
219	2	22	10	A/Panama/2007/1999(H3N2)-2017
220	2	23	1	A/Panama/2007/1999(H3N2)-2017
221	2	23	2	A/Panama/2007/1999(H3N2)-2017
222	2	23	3	A/Panama/2007/1999(H3N2)-2017
223	2	23	4	A/Panama/2007/1999(H3N2)-2017
224	2	23	5	A/Panama/2007/1999(H3N2)-2017
225	2	23	6	A/Panama/2007/1999(H3N2)-2017
226	2	23	7	A/Panama/2007/1999(H3N2)-2017
227	2	23	8	A/Panama/2007/1999(H3N2)-2017
228	2	23	9	A/Panama/2007/1999(H3N2)-2017
229	2	23	10	A/Panama/2007/1999(H3N2)-2017
230	2	24	1	A/Panama/2007/1999(H3N2)-2017
231	2	24	2	A/Panama/2007/1999(H3N2)-2017
232	2	24	3	A/Panama/2007/1999(H3N2)-2017
233	2	24	4	A/Panama/2007/1999(H3N2)-2017
234	2	24	5	A/Panama/2007/1999(H3N2)-2017
235	2	24	6	A/Panama/2007/1999(H3N2)-2017
236	2	24	7	A/Panama/2007/1999(H3N2)-2017
237	2	24	8	A/Panama/2007/1999(H3N2)-2017
238	2	24	9	A/Panama/2007/1999(H3N2)-2017
239	2	24	10	A/Panama/2007/1999(H3N2)-2017
240	3	25	1	A/Panama/2007/1999(H3N2)-2017
241	3	25	2	A/Panama/2007/1999(H3N2)-2017
242	3	25	3	A/Panama/2007/1999(H3N2)-2017
243	3	25	4	A/Panama/2007/1999(H3N2)-2017
244	3	25	5	A/Panama/2007/1999(H3N2)-2017
245	3	25	6	A/Panama/2007/1999(H3N2)-2017
246	3	25	7	A/Panama/2007/1999(H3N2)-2017
247	3	25	8	A/Panama/2007/1999(H3N2)-2017
