Row	1	2	3	4	5	6	7	8	9	10
1	204872	197753	185779	236397	267837	266243	234536	246832	290163	279767
2	325765	282634	253114	471627	345063	313443	394763	373748	298959	301392
3	176641	211288	331760	325595	286054	357635	329320	305700	732461	596531
4	268966	533405	473655	393152	488085	361508	345833	584162	481845	498935
5	208764	252122	300314	580316	391645	374735	564514	420594	310039	536551
6	202359	232688	299689	252419	305693	496035	352184	322678	349116	291481
7	195739	601104	499848	373639	791507	594451	401417	495425	363108	259105
8	381944	453237	449169	390272	319836	367164	614120	481695	333799	502897
9	318722	261454	419866	320742	295371	325280	345562	430229	467822	284493
10	260560	326554	286152	250796	584055	436578	435417	841064	641996	373814
11	420904	333850	288786	505011	478806	415067	446437	392356	374203	260422
12	247326	232080	240694	246562	232818	238412	328982	395663	314408	258375
13	282309	287922	249341	237916	239976	257523	319106	328157	333539	306558
14	561651	415871	324649	526863	357161	322105	446349	397265	387088	363362
15	286621	306493	473922	334712	306957	378273	378038	383884	790640	684740
16	408871	826173	558254	414205	483621	369011	354331	616476	666924	590110
17	445963	380958	402282	650476	467275	360162	600714	495126	469528	553292
18	342107	350926	345253	335714	321184	458988	396873	365429	513708	483330
19	297466	706614	540708	451532	704827	553198	472437	559600	464055	473222
20	572923	826864	503825	390129	376659	371720	773404	470060	411141	690810
21	385878	302627	392565	373835	357490	288675	355753	430548	522757	482840
22	294805	362980	311940	278380	761719	575722	502346	881262	680122	564254
23	493922	370562	284861	525690	479755	509332	493965	463072	507050	376334
24	233401	230989	232381	233758	242991	247898	304018	378320	333911	362889
25	233007	235797	239666	236628	272972	288422	291642	297547	299473	353960
26	643206	480021	388643	611547	425761	358096	478722	380234	357470	395084
27	284078	331197	541892	474472	316215	409089	378473	344479	977564	710694
28	485939	858984	625094	504541	548708	412876	375464	549693	563345	597870
29	491312	410773	413290	679431	461173	381591	517542	426307	353169	541081
30	403758	361865	376378	348730	281372	484839	397931	301012	411432	466620
31	359844	782303	603779	492238	919745	626425	436469	526901	373218	455488
32	614123	524752	524118	510184	428176	432817	576814	400245	383856	839114
33	421321	360987	400802	453308	392692	398781	302615	303426	487106	753951
34	341170	412779	337469	365420	705683	625429	535639	769577	729028	730138
35	385797	384630	282471	520776	460132	577332	539995	474828	470618	346119
36	477276	334223	316532	381862	568712	445212	368479	372206	360546	505025
