Row	1	2	3	4	5	6	7	8	9	10
1	146482	155821	169906	215304	231290	243958	355093	294006	313773	350069
2	327112	167929	118809	233308	94835	138233	178177	139609	156401	223641
3	110806	81636	157452	106384	86902	107205	73336	71796	596108	614064
4	153509	324524	235355	174023	125975	80461	73396	246417	197837	217151
5	114807	100016	128942	279544	79165	70692	246377	128607	94487	210840
6	109056	110868	107687	62739	62078	147582	107797	72677	121379	120516
7	99268	495302	261682	149888	405690	247293	158747	170351	119181	98783
8	351455	273246	105660	92007	108539	120991	325912	141792	108381	321892
9	141681	125298	130290	77444	102213	140666	128810	69410	190996	139407
10	91584	169433	88972	74038	529455	248198	168130	322924	213159	147624
11	208364	184825	87639	292944	201724	154927	143959	93065	134322	122754
12	144489	123092	73194	72854	73655	81471	128632	76986	100390	87539
13	227514	158663	112928	94740	83698	73727	89008	110435	97454	94762
14	495222	211461	109401	288610	134305	90067	164891	117543	104034	130023
15	233227	82608	211158	110476	84894	111074	150796	291062	478193	273123
16	221034	346483	200100	174154	259264	131734	130974	376159	400876	250556
17	124322	115330	108331	424933	245441	169107	317486	136231	132757	164495
18	122956	103140	94145	126143	111733	214050	160478	113224	153990	148100
19	140683	408128	204709	156825	291033	223024	190494	277654	130847	133623
20	361058	311192	112930	109061	133416	123370	428997	244994	136817	365100
21	161788	97579	148914	95657	145409	122497	88701	125439	251799	136809
22	95622	130938	101804	103568	397285	235874	143994	364252	241876	164102
23	198692	132664	94209	297751	296742	276025	120641	126997	136958	124576
24	156472	94962	79642	77097	69217	77018	92854	102255	129726	95751
25	119403	91008	79680	96124	77217	75708	91408	94432	86476	117097
26	406270	187373	107056	264269	144005	100462	165935	112654	105710	136941
27	132384	95384	198748	149707	112004	125006	107189	105361	362825	298016
28	215774	333900	227844	237701	248620	146860	123473	599075	454121	188632
29	148158	116271	119324	305226	176155	131470	289656	211164	153202	218669
30	185388	107345	111488	158799	111040	189403	167831	137012	200732	144000
31	161608	326298	198440	189613	280868	226368	176689	273401	170787	135588
32	340331	196833	152252	198070	121695	174964	322528	229442	166416	410935
33	215776	183334	289152	297914	128552	117598	114187	133056	367021	344174
34	155901	200927	279988	165863	301608	190111	165759	339727	358685	340868
35	290754	206366	225950	234366	211387	153752	150971	183885	227015	212164
36	189496	396146	490832	240481	203626	209735	152283	150569	146591	166880
