Row	1	2	3	4	5	6	7	8	9	10
1	606724	528369	532393	571240	700713	717307	639679	686878	983913	1399549
2	834534	581657	465058	809822	682884	696158	747700	688840	1053973	1647522
3	541133	376386	484925	336252	278645	367136	341951	357977	617685	485482
4	713497	828829	593760	470118	423118	331298	337939	393583	377781	397588
5	591533	600582	493063	860895	423112	376198	681339	411508	375294	344076
6	503908	374861	381684	445430	376986	396271	438885	401375	417507	428964
7	434707	694412	636701	549829	779679	558384	544321	542883	435086	499301
8	842643	779759	497994	526412	502613	509802	864854	702580	453592	579901
9	617667	376149	430558	440924	377125	488324	500590	531987	492105	419545
10	373007	528048	431858	369747	690399	593574	521519	764996	609988	529879
11	526626	401566	412223	780334	818821	472912	525304	587554	655514	396945
12	357895	286042	298623	276995	342515	339933	507471	536245	492048	393256
13	470513	412733	311567	306689	266913	272108	281340	301976	360245	444977
14	946194	618420	413830	701851	455419	394508	400893	371974	378441	496438
15	638759	415594	461085	455721	430875	518827	445970	401582	842416	864160
16	693814	892437	587883	525499	560262	421976	360875	873572	541153	651477
17	524335	440087	424867	622915	559923	455924	807846	500438	507772	678297
18	450823	378833	545216	382977	370889	437189	371121	353138	753565	665027
19	420697	1353808	1006628	492774	733445	580843	545177	562561	604206	575951
20	1117474	954685	506968	455697	404213	471368	900962	759245	560625	796209
21	459830	373311	408134	408442	511332	430655	545954	507575	561988	565241
22	308709	487222	378580	345152	1087464	559394	509054	955380	777897	735899
23	540125	365666	327557	874860	863630	645598	598813	608646	796095	505335
24	295741	270507	277130	288404	308936	299066	343386	441273	413338	481011
25	262568	256942	269049	274585	290502	302269	314025	352204	368682	514061
26	781547	525639	379809	704190	502635	415491	464102	450352	416315	584237
27	292686	310209	411838	327185	336413	645942	538658	488195	814526	902953
28	453135	761345	541467	492948	594323	469311	453551	939026	643863	784350
29	470642	389177	411179	846697	821016	511214	1069135	832328	562591	906067
30	432575	355041	378982	504762	445120	617150	506128	567161	806416	914009
31	497027	785053	605537	673568	1055313	927708	1147807	1366141	818921	805794
32	850983	799165	658269	746869	670082	840921	1554642	1771782	954923	936727
33	660518	478001	540482	520469	774139	690742	1005746	784092	889698	869404
34	516814	583326	535697	547577	1132959	1249868	1131467	1373310	1344797	1481977
35	722796	557191	516037	996078	1126677	1296986	1642609	1875133	1892291	2251722
36	585023	526253	444575	556894	715726	815613	649068	816555	664965	716571
