Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	1206038	554265	1331851	3947413	1958885	787068	945621	2587265	703440	965758	4405940	575050	3064369	1128126	762003
2	1162502	1576838	2861881	2549254	20620466	1440337	4022631	4124479	1554495	5819033	14024089	17190172	8617100	1508655	3651853
3	792523	678273	2482552	39988589	29130369	906384	3819072	1710636	1553125	1680597	4344528	1645033	4689903	3982768	539665
4	19532309	793744	9760901	1062199	4001322	3273793	2806222	2617298	2427870	4385573	18485356	11138906	2011918	49917221	644434
5	782843	443093	518074	566962	28526626	8825815	3976433	4592157	706679	2121753	15383370	9901522	1833929	2399400	1663528
6	740421	930037	817737	700120	501957	1602549	9409166	16057103	2211247	42374389	12437077	1003442	2050440	1214393	1482953
7	463783	588079	25560418	575717	1296731	1070413	2746235	82479213	7898460	4368054	8307777	795836	4499312	2527800	1846972
8	697363	352837	631089	1062824	2775683	3011679	7273900	29465367	3369556	9243201	8474797	1186378	3724477	3718578	48054246
9	8968554	1039242	15383696	1881651	1830129	2607744	43654503	31137104	4414843	9174549	5251063	3824072	2219791	4108013	1027441
10	1985170	887671	1578265	34689275	1325829	21545520	1790133	2651671	2955652	8594721	6399730	881532	818645	7718774	3704776
11	996070	46847799	945700	1629709	1138156	1139067	1924133	17787912	1699860	7355928	7200010	1159022	1517186	1240469	2075737
12	732244	416448	595433	519408	1483377	1994849	1677994	459634	1122714	12061460	7181965	4862655	11966994	2965847	1003326
13	961793	412043	567653	374672	1014981	6468248	966823	1929779	1102688	14915584	53275660	21038196	666316	1039202	791450
14	864957	321124	866426	581181	1226080	1270831	1296476	2963308	3001753	12606529	50256027	629792	828022	1664122	1308115
15	507138	498578	36181916	31638573	1809907	40409648	2947328	1957380	1983935	40820687	42115063	607017	2761335	1296020	3084640
16	327789	648295	798378	1357341	1415728	381192	32401992	1503976	18172357	1105245	1627592	701642	1211088	1731734	1017389
17	563501	12987461	5721919	1544621	38313249	555201	591698	655439	747765	522559	18043642	1076359	1247932	592301	860183
18	1046163	536564	10542665	534630	1107109	415458	541297	948469	1619266	591136	503972	1858972	1022180	877582	1927011
19	20669749	3094943	401623	572065	886856	351151	706446	561454	1998711	482149	675727	1039581	723712	10088790	1223282
20	614082	516021	465983	1036962	1122871	460525	1036845	840467	397083	512172	1715733	2606649	635801	33247247	831935
21	590999	1937878	622870	709308	1025597	45853333	33651718	1367208	42107165	1152347	1226079	2023638	34077632	31543525	860964
22	1497975	732557	2677891	582464	3439265	690264	1927959	1089064	467007	35280171	641680	22243016	492890	976155	629194
23	398119	865697	546199	454331	16311812	5071420	1520874	45474056	943902	1025366	461362	664503	582779	12433905	956818
24	548489	663755	643706	866989	11361898	3191523	749057	555348	1347329	602398	1038476	1913737	768824	433082	857056
25	66703248	765623	1604638	12221883	9436044	1216839	782355	606085	491036	1552463	897624	1329592	608626	611686	1028794
26	477245	17776757	693942	814303	5190746	526826	1231441	639555	878855	11518664	1009896	539663	645002	1213389	2150955
27	503987	26401843	856257	715818	2084381	737418	921058	830370	35451110	37099559	1958690	37571231	2329701	2323474	1597986
28	43141252	8269256	892823	3386095	2576632	4081998	686145	1553243	1043498	1627215	2627956	630229	36243088	1059580	13914460
29	316504	498396	629616	1072276	2219117	1567950	723595	10664034	5852585	2199703	43725750	976198	801342	1004473	1281239
30	394360	8610718	1776610	1200219	1138582	741459	940092	950910	11419080	979710	1013970	738063	575203	732941	2775188
31	842494	658109	1111385	20101548	16288745	1685825	13716023	2201785	586068	944309	742438	589492	452890	668665	2030503
32	1070445	1064393	1088137	702981	92349196	922565	851200	754903	977407	870051	644335	2197210	429264	592123	833394
33	854536	2272123	3526412	940447	27246074	1077386	1674990	2351675	1903235	2037107	2110931	51122870	34507318	2563660	30889077
34	3751078	2004715	1536864	38900137	26867321	968227	3846804	1542768	4410227	825071	3470442	1618033	2799524	7702707	1845469
35	26237229	798710	18965321	650829	582450	682148	726849	771268	722052	593512	20930580	12508195	2485744	52452297	898292
36	586258	1171276	1065294	598152	13162992	1807836	1381288	730677	858770	883880	902379	10191436	504481	735423	462365
37	441552	695259	1928421	1514572	754695	1786400	11198998	2346896	1340649	19909091	3560066	784022	729842	729219	810302
38	742958	827316	863970	571064	826500	1516851	959086	61350281	682786	840046	859336	1483478	1314362	830463	2286882
39	1026375	800746	1130919	783131	1256251	3700362	776315	38917716	1635830	858111	2079404	1112366	1232662	869241	42443187
40	25178748	1138757	28636420	4876024	3442975	1534132	43039789	30124716	1009199	2921331	1155916	3158870	888681	1886440	2397163
41	1515704	2413871	533380	31926642	1101072	20207175	821631	872817	816716	853436	997368	1206618	1007494	12383824	13560672
42	1991186	45386867	772343	1233405	1160481	1479560	1134111	8188458	2462359	1510203	1068469	1100150	1511256	1040184	13654395
43	757322	707110	553053	614391	1071952	1741626	1248174	668300	1334127	6422808	3964034	1986116	23486306	1362549	1078756
44	645658	858766	739904	892132	1100358	829256	1078250	954618	2456564	2167416	56936067	5084459	1587156	1355795	1312695
