Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	613113	663842	831999	712694	806508	890897	816743	818530	777328	631423	488294	552602	784009	363866	455673
2	14097194	883494	1876963	601477	2287798	745769	743648	657171	665085	601112	485782	26891627	37010705	363712	49144024
3	1473932	898128	1140073	789067	1477418	682860	1406837	634620	1042767	519970	598387	7785916	3326997	473764	637634
4	1086756	780065	7389976	573181	1177048	541124	598978	6886069	839237	462205	18345610	21764322	519462	45290055	479106
5	1606571	1135452	2657156	618896	1446549	795406	612794	622584	565218	571633	835289	1090705	526503	463383	345872
6	436902	4104234	2196189	779495	508514	793402	900589	513011	761104	1211335	564510	485049	656021	384486	574468
7	383785	377610	761411	694979	506776	804334	797798	547775	569137	796248	1013278	674076	494927	420549	639397
8	586431	650204	1444554	21395334	1137158	2107102	562294	1706922	467486	674849	824325	888541	700250	488908	17780493
9	25122728	956488	50931836	969374	680235	1085664	575510	925325	556464	1582350	768090	1385523	536279	830025	4083284
10	602280	893781	862840	769267	626825	2974414	404144	404393	540937	524081	8775581	854580	541162	13834704	23431723
11	557369	38216382	548269	865728	889613	849821	927322	453663	648242	518162	691338	725447	596482	613834	2934104
12	449157	437420	350284	389431	3530412	3360249	661153	376678	851068	672684	1262847	793232	1409924	837159	643493
13	403096	372622	417745	431634	693340	894490	616036	627156	602987	646191	938483	686246	495957	776952	593072
14	339715	357508	355790	376250	570040	629759	28581971	631181	1565606	477926	1308634	597556	700339	648248	742706
15	472591	422490	18937918	16396276	1234172	45970796	521309	562921	786867	436069	7650067	687227	1268657	665864	896950
16	357714	567220	396600	651728	1541468	980081	517983	503045	3828390	426776	535400	475535	514837	4529925	583364
17	339817	12011485	13081918	486176	35054703	684182	538504	601676	828755	691679	631764	572742	565336	699805	535506
18	425401	481681	736739	686767	575311	392454	314955	1639944	1878408	497483	334739	526765	514986	576773	595237
19	781751	551070	360810	953330	372349	332866	392433	331084	435680	488124	341541	478873	417164	1019402	454818
20	380215	495455	409740	14489530	366480	519184	338878	326885	595637	2373049	511862	1404117	389062	1025771	443375
21	555607	516489	496810	11674402	410778	21532899	14014293	438036	52129495	389787	499919	684971	363530	4352369	487803
22	960505	487993	666745	609327	515233	363629	783748	824938	1765395	655425	430320	5161500	346071	483210	365920
23	420370	4628521	508580	2204469	13421624	16697250	598309	45195195	2033055	551286	410395	495243	391024	531323	424792
24	598593	579460	444634	618367	779914	1002417	1134293	751246	593775	307109	4902854	3299730	456312	406097	382318
25	437977	471521	500093	954016	510067	511048	972428	407561	378361	482068	357093	382626	428880	445840	405870
26	774777	673823	395193	452933	540286	476512	722216	1648358	545752	670800	438024	628135	1319355	498900	1022060
27	447686	832979	419544	524105	558386	491396	17473864	714771	37508859	36016900	528647	50287683	680993	535356	688454
28	546953	2651623	679982	743912	831501	958369	15266605	1715174	11714555	3517617	651086	2032291	849929	610247	1501220
29	330742	362128	381351	348742	4092815	438511	501183	10161017	12144828	430206	38725976	481376	481309	549372	608102
30	407978	361666	595686	428827	477995	362886	577489	1277312	1321271	313030	1982326	328475	296362	4514938	1465198
31	485110	396299	551116	977934	360498	431219	775924	396165	311981	315954	376972	395141	370198	317369	496514
32	322525	397285	401243	551109	419826	309067	403705	459487	342989	294045	346225	15400019	419868	355266	471341
33	652316	506550	1272916	320960	1409470	302477	440852	788121	481632	407740	356791	17392627	19193733	588681	48899715
34	387277	537511	565725	477105	2107578	395672	940448	449667	524174	337202	415218	492780	952119	413029	293591
35	409629	437139	5645096	302013	285924	309850	345681	2298483	552634	373994	11856907	16368984	379024	38615975	350012
36	426738	368319	512782	328177	305504	413371	406990	467334	522714	424533	970730	2028671	842292	312732	399568
37	301659	911686	1253518	405901	306359	505196	1477023	327464	464417	1904283	364224	350484	450349	325102	319134
38	490362	358670	363864	320354	313195	445634	391853	539158	350692	391528	483476	431391	336247	320367	429293
39	510443	352190	353172	1405599	473090	1134987	367239	1122798	320264	525175	591267	566840	442865	366355	14181548
40	31235517	523439	45585469	413363	555865	722060	610477	2299141	406355	1055468	431653	670367	381748	444449	547514
41	786438	801978	304681	439076	461956	1060561	688494	344261	371077	368931	3009889	515240	409759	12948040	10165502
42	662554	16950867	370130	597822	490789	759552	550524	334901	552428	429875	621575	483033	543921	521611	1062069
43	6110267	1216255	314186	338732	1228739	1539452	452813	295705	551499	549528	404362	691632	5560531	410799	417289
44	4490275	389949	328189	1758834	450214	596884	360825	388683	445991	465002	466531	486734	403455	509608	411399
45	288629	288844	752036	506304	397373	555924	6129223	546143	1082774	385153	660904	509067	511868	442027	566463
46	385286	325162	22023804	23271089	443950	43311224	488245	483930	579291	394520	8014686	554674	1271748	452727	864648
47	315795	433238	711295	569298	774533	690088	537092	476391	636379	410371	365619	366716	383735	1467812	513737
48	327846	12090481	2776915	374277	13934653	347992	457357	444812	535744	445680	385233	469664	633495	626458	487123
49	401410	410352	1495942	523925	888868	362299	302468	869341	1254897	565289	426606	556131	826707	439499	555618
50	2131600	345810	435945	1412197	276985	288630	398146	396275	470613	428941	362591	438698	402092	908306	435244
51	302302	440222	442425	6677658	266119	349872	366110	387345	448019	13653582	580482	1472320	459990	487475	373425
52	381353	348978	405651	2494561	310763	10437869	16246781	448173	42633002	406505	560309	874972	544336	2847571	662922
53	568613	409585	619500	290019	340404	330992	477913	566932	392463	563554	572705	674192	413120	628954	434441
54	298603	854592	474368	279390	1550832	889810	413448	10775896	369555	452889	481743	580073	527126	463105	573130
55	349669	475255	317772	319896	318314	345884	314426	422963	695082	389425	719340	625503	711314	348722	888144
56	408011	288182	368022	696668	312116	315038	305896	304646	637173	716213	466483	414510	493251	480669	378807
57	290113	305509	284046	296817	483430	438167	320234	332942	415436	544527	553783	1448212	733821	607916	345794
