raw_spot__row	1	2	3	4	5	6	7	8	9	10
1	81304.0	3573.0	2600.0	1790.0	1792.0	925.0	1027.0	8053.0	2242.0	378896.0
2	797.0	1014.0	42995.0	15928.0	111322.0	65526.0	60917.0	56885.0	1618.0	2702.0
3	5463.0	47290.0	41472.0	18335.0	14120.0	66072.0	68738.0	5492.0	11236.0	2779.0
4	3023.0	6834.0	13702.0	18395.0	22318.0	46408.0	90662.0	5923.0	32131.0	1709.0
5	2160.0	5319.0	12071.0	4068.0	18521.0	63750.0	22476.0	5443.0	38744.0	1733.0
6	5060.0	5423.0	12545.0	6099.0	57088.0	77617.0	35582.0	41054.0	39978.0	1733.0
7	3319.0	3673.0	20635.0	14811.0	63461.0	71788.0	55248.0	40474.0	69427.0	14887.0
8	129978.0	1679.0	28839.0	44840.0	45969.0	66742.0	58785.0	54462.0	71805.0	12800.0
9	1862.0	1217.0	1658.0	4449.0	9177.0	3690.0	5489.0	1564.0	2627.0	1599.0
10	2195.0	28878.0	48712.0	42666.0	65406.0	48015.0	46072.0	49291.0	9124.0	1462.0
11	13957.0	47728.0	28005.0	14470.0	80206.0	49289.0	52290.0	44906.0	10757.0	1512.0
12	1359.0	9492.0	51606.0	12671.0	15477.0	56824.0	50543.0	4230.0	8600.0	2698.0
13	2723.0	6904.0	11260.0	19449.0	20571.0	45415.0	63920.0	8703.0	13940.0	4942.0
14	2167.0	4747.0	13544.0	6767.0	19310.0	50916.0	17674.0	6324.0	19922.0	11773.0
15	4554.0	2030.0	12025.0	5447.0	36638.0	56809.0	24422.0	28895.0	20423.0	9873.0
16	230422.0	3000.0	10873.0	19153.0	50052.0	50110.0	35453.0	26135.0	49803.0	10480.0
17	2334.0	2707.0	2193.0	3559.0	5498.0	3056.0	3674.0	3062.0	3600.0	1732.0
18	1531.0	24388.0	6658.0	66578.0	57938.0	33320.0	27166.0	55167.0	2296.0	1470.0
19	1551.0	31186.0	30569.0	54647.0	58033.0	40259.0	37252.0	41094.0	9543.0	7919.0
20	3316.0	52746.0	46751.0	13037.0	74441.0	45213.0	35850.0	38581.0	10434.0	1544.0
21	2002.0	8405.0	53243.0	17388.0	20852.0	56424.0	45217.0	5406.0	7745.0	4987.0
22	2789.0	7621.0	14574.0	12310.0	17414.0	45493.0	60823.0	5756.0	18105.0	3397.0
23	2111.0	6000.0	11668.0	4662.0	19685.0	60224.0	11550.0	3635.0	14721.0	68794.0
24	2327.0	4981.0	12447.0	3607.0	44620.0	62825.0	17641.0	18222.0	17075.0	39005.0
25	297631.0	2156.0	4129.0	1665.0	3220.0	1537.0	2019.0	211.0	4086.0	42676.0
