ID	Block	Row	Column	Name
1	1	1	1	Fet_0.3
2	1	1	2	Fet_0.3
3	1	1	3	Fet_0.3
4	1	1	4	Fet_0.3
5	1	1	5	Fet_0.3
6	1	1	6	Fet_0.3
7	1	1	7	Fet_0.3
8	1	1	8	Fet_0.3
9	1	1	9	Fet_0.3
10	1	1	10	Fet_0.3
11	1	1	11	Fet_0.3
12	1	1	12	Fet_0.3
13	1	2	1	Neutra+sl6b_0.1
14	1	2	2	Neutra+sl6b_0.1
15	1	2	3	Neutra+sl6b_0.1
16	1	2	4	Neutra+sl6b_0.1
17	1	2	5	Neutra+sl6b_0.1
18	1	2	6	Neutra+sl6b_0.1
19	1	2	7	Buffer001
20	1	2	8	Buffer001
21	1	2	9	Buffer001
22	1	2	10	Buffer001
23	1	2	11	Buffer001
24	1	2	12	Buffer001
25	1	3	1	Pep7_1
26	1	3	2	Pep7_1
27	1	3	3	Pep7_1
28	1	3	4	Pep7_1
29	1	3	5	Pep7_1
30	1	3	6	Pep7_1
31	1	3	7	Pep7_1
32	1	3	8	Pep7_1
33	1	3	9	Pep7_1
34	1	3	10	Pep7_1
35	1	3	11	Pep7_1
36	1	3	12	Pep7_1
37	1	4	1	P019_1
38	1	4	2	P019_1
39	1	4	3	P019_1
40	1	4	4	P019_1
41	1	4	5	P019_1
42	1	4	6	P019_1
43	1	4	7	P019_1
44	1	4	8	P019_1
45	1	4	9	P019_1
46	1	4	10	P019_1
47	1	4	11	P019_1
48	1	4	12	P019_1
49	1	5	1	Pep39_1
50	1	5	2	Pep39_1
51	1	5	3	Pep39_1
52	1	5	4	Pep39_1
53	1	5	5	Pep39_1
54	1	5	6	Pep39_1
55	1	5	7	Pep39_1
56	1	5	8	Pep39_1
57	1	5	9	Pep39_1
58	1	5	10	Pep39_1
59	1	5	11	Pep39_1
60	1	5	12	Pep39_1
61	1	6	1	Pep41_1
62	1	6	2	Pep41_1
63	1	6	3	Pep41_1
64	1	6	4	Pep41_1
65	1	6	5	Pep41_1
66	1	6	6	Pep41_1
67	1	6	7	Pep41_1
68	1	6	8	Pep41_1
69	1	6	9	Pep41_1
70	1	6	10	Pep41_1
71	1	6	11	Pep41_1
72	1	6	12	Pep41_1
73	1	7	1	Pep42_1
74	1	7	2	Pep42_1
75	1	7	3	Pep42_1
76	1	7	4	Pep42_1
77	1	7	5	Pep42_1
78	1	7	6	Pep42_1
79	1	7	7	Pep42_1
80	1	7	8	Pep42_1
81	1	7	9	Pep42_1
82	1	7	10	Pep42_1
83	1	7	11	Pep42_1
84	1	7	12	Pep42_1
85	1	8	1	Pep44_1
86	1	8	2	Pep44_1
87	1	8	3	Pep44_1
88	1	8	4	Pep44_1
89	1	8	5	Pep44_1
90	1	8	6	Pep44_1
91	1	8	7	Pep44_1
92	1	8	8	Pep44_1
93	1	8	9	Pep44_1
94	1	8	10	Pep44_1
95	1	8	11	Pep44_1
96	1	8	12	Pep44_1
