ID	Block	Row	Column	Name
0	1	1	1	NO
1	1	1	2	NO
2	1	1	3	NO
3	1	1	4	NO
4	1	1	5	NO
5	1	1	6	NO
6	1	1	7	NO
7	1	1	8	NO
8	1	1	9	NO
9	1	1	10	NO
10	1	2	1	P10100
11	1	2	2	P10050
12	1	2	3	P10025
13	1	2	4	1.0_pep11
14	1	2	5	0.5_pep11
15	1	2	6	0.25_pep11
16	1	2	7	1.0_pep12
17	1	2	8	0.5_pep12
18	1	2	9	0.25_pep12
19	1	2	10	1.0_pep13
20	1	3	1	0.5_pep13
21	1	3	2	0.25_pep13
22	1	3	3	1.0_pep14
23	1	3	4	0.5_pep14
24	1	3	5	0.25_pep14
25	1	3	6	P001-1
26	1	3	7	P001-05
27	1	3	8	P001-025
28	1	3	9	1.0_pep49
29	1	3	10	0.5_pep49
30	1	4	1	0.25_pep49
31	1	4	2	1.0_pep50
32	1	4	3	0.5_pep50
33	1	4	4	0.25_pep50
34	1	4	5	1.0_pep52
35	1	4	6	0.5_pep52
36	1	4	7	0.25_pep52
37	1	4	8	1.0_pep61
38	1	4	9	0.5_pep61
39	1	4	10	0.25_pep61
40	1	5	1	DYE100
41	1	5	2	DYE050
42	1	5	3	DYE025
43	1	5	4	P10100
44	1	5	5	P10050
45	1	5	6	P10025
46	1	5	7	1.0_pep11
47	1	5	8	0.5_pep11
48	1	5	9	0.25_pep11
49	1	5	10	1.0_pep12
50	1	6	1	0.5_pep12
51	1	6	2	0.25_pep12
52	1	6	3	1.0_pep13
53	1	6	4	0.5_pep13
54	1	6	5	0.25_pep13
55	1	6	6	1.0_pep14
56	1	6	7	0.5_pep14
57	1	6	8	0.25_pep14
58	1	6	9	P001-1
59	1	6	10	P001-05
60	1	7	1	P001-025
61	1	7	2	1.0_pep49
62	1	7	3	0.5_pep49
63	1	7	4	0.25_pep49
64	1	7	5	1.0_pep50
65	1	7	6	0.5_pep50
66	1	7	7	0.25_pep50
67	1	7	8	1.0_pep52
68	1	7	9	0.5_pep52
69	1	7	10	0.25_pep52
70	1	8	1	1.0_pep61
71	1	8	2	0.5_pep61
72	1	8	3	0.25_pep61
73	1	8	4	DYE100
74	1	8	5	DYE050
75	1	8	6	DYE025
76	1	8	7	P10100
77	1	8	8	P10050
78	1	8	9	P10025
79	1	8	10	1.0_pep11
80	1	9	1	0.5_pep11
81	1	9	2	0.25_pep11
82	1	9	3	1.0_pep12
83	1	9	4	0.5_pep12
84	1	9	5	0.25_pep12
85	1	9	6	1.0_pep13
86	1	9	7	0.5_pep13
87	1	9	8	0.25_pep13
88	1	9	9	1.0_pep14
89	1	9	10	0.5_pep14
90	1	10	1	0.25_pep14
91	1	10	2	P001-1
92	1	10	3	P001-05
93	1	10	4	P001-025
94	1	10	5	1.0_pep49
95	1	10	6	0.5_pep49
96	1	10	7	0.25_pep49
97	1	10	8	1.0_pep50
98	1	10	9	0.5_pep50
99	1	10	10	0.25_pep50
100	1	11	1	1.0_pep52
101	1	11	2	0.5_pep52
102	1	11	3	0.25_pep52
103	1	11	4	1.0_pep61
104	1	11	5	0.5_pep61
105	1	11	6	0.25_pep61
106	1	11	7	DYE100
107	1	11	8	DYE050
108	1	11	9	DYE025
109	1	11	10	NO
110	1	12	1	NO
111	1	12	2	NO
112	1	12	3	NO
113	1	12	4	NO
114	1	12	5	NO
115	1	12	6	NO
116	1	12	7	NO
117	1	12	8	NO
118	1	12	9	NO
119	1	12	10	NO
120	2	13	1	NO
121	2	13	2	NO
122	2	13	3	NO
123	2	13	4	NO
124	2	13	5	NO
125	2	13	6	NO
126	2	13	7	NO
127	2	13	8	NO
128	2	13	9	NO
129	2	13	10	NO
130	2	14	1	P10100
131	2	14	2	P10050
132	2	14	3	P10025
133	2	14	4	1.0_pep11
134	2	14	5	0.5_pep11
135	2	14	6	0.25_pep11
136	2	14	7	1.0_pep12
137	2	14	8	0.5_pep12
138	2	14	9	0.25_pep12
139	2	14	10	1.0_pep13
140	2	15	1	0.5_pep13
141	2	15	2	0.25_pep13
142	2	15	3	1.0_pep14
143	2	15	4	0.5_pep14
144	2	15	5	0.25_pep14
145	2	15	6	P001-1
146	2	15	7	P001-05
147	2	15	8	P001-025
148	2	15	9	1.0_pep49
149	2	15	10	0.5_pep49
150	2	16	1	0.25_pep49
151	2	16	2	1.0_pep50
152	2	16	3	0.5_pep50
153	2	16	4	0.25_pep50
154	2	16	5	1.0_pep52
155	2	16	6	0.5_pep52
156	2	16	7	0.25_pep52
157	2	16	8	1.0_pep61
158	2	16	9	0.5_pep61
159	2	16	10	0.25_pep61
160	2	17	1	DYE100
161	2	17	2	DYE050
162	2	17	3	DYE025
163	2	17	4	P10100
164	2	17	5	P10050
165	2	17	6	P10025
166	2	17	7	1.0_pep11
167	2	17	8	0.5_pep11
168	2	17	9	0.25_pep11
169	2	17	10	1.0_pep12
170	2	18	1	0.5_pep12
171	2	18	2	0.25_pep12
172	2	18	3	1.0_pep13
173	2	18	4	0.5_pep13
174	2	18	5	0.25_pep13
175	2	18	6	1.0_pep14
176	2	18	7	0.5_pep14
177	2	18	8	0.25_pep14
178	2	18	9	P001-1
179	2	18	10	P001-05
180	2	19	1	P001-025
181	2	19	2	1.0_pep49
182	2	19	3	0.5_pep49
183	2	19	4	0.25_pep49
184	2	19	5	1.0_pep50
185	2	19	6	0.5_pep50
186	2	19	7	0.25_pep50
187	2	19	8	1.0_pep52
188	2	19	9	0.5_pep52
189	2	19	10	0.25_pep52
190	2	20	1	1.0_pep61
191	2	20	2	0.5_pep61
192	2	20	3	0.25_pep61
193	2	20	4	DYE100
194	2	20	5	DYE050
195	2	20	6	DYE025
196	2	20	7	P10100
197	2	20	8	P10050
198	2	20	9	P10025
199	2	20	10	1.0_pep11
200	2	21	1	0.5_pep11
201	2	21	2	0.25_pep11
202	2	21	3	1.0_pep12
203	2	21	4	0.5_pep12
204	2	21	5	0.25_pep12
205	2	21	6	1.0_pep13
206	2	21	7	0.5_pep13
207	2	21	8	0.25_pep13
208	2	21	9	1.0_pep14
209	2	21	10	0.5_pep14
210	2	22	1	0.25_pep14
211	2	22	2	P001-1
212	2	22	3	P001-05
213	2	22	4	P001-025
214	2	22	5	1.0_pep49
215	2	22	6	0.5_pep49
216	2	22	7	0.25_pep49
217	2	22	8	1.0_pep50
218	2	22	9	0.5_pep50
219	2	22	10	0.25_pep50
220	2	23	1	1.0_pep52
221	2	23	2	0.5_pep52
222	2	23	3	0.25_pep52
223	2	23	4	1.0_pep61
224	2	23	5	0.5_pep61
225	2	23	6	0.25_pep61
226	2	23	7	DYE100
227	2	23	8	DYE050
228	2	23	9	DYE025
229	2	23	10	NO
230	2	24	1	NO
231	2	24	2	NO
232	2	24	3	NO
233	2	24	4	NO
234	2	24	5	NO
235	2	24	6	NO
236	2	24	7	NO
237	2	24	8	NO
238	2	24	9	NO
239	2	24	10	NO
240	3	25	1	NO
241	3	25	2	NO
242	3	25	3	NO
243	3	25	4	NO
244	3	25	5	NO
245	3	25	6	NO
246	3	25	7	NO
247	3	25	8	NO
248	3	25	9	NO
249	3	25	10	NO
250	3	26	1	P10100
251	3	26	2	P10050
252	3	26	3	P10025
253	3	26	4	1.0_pep11
254	3	26	5	0.5_pep11
255	3	26	6	0.25_pep11
256	3	26	7	1.0_pep12
257	3	26	8	0.5_pep12
258	3	26	9	0.25_pep12
259	3	26	10	1.0_pep13
260	3	27	1	0.5_pep13
261	3	27	2	0.25_pep13
262	3	27	3	1.0_pep14
263	3	27	4	0.5_pep14
264	3	27	5	0.25_pep14
265	3	27	6	P001-1
266	3	27	7	P001-05
267	3	27	8	P001-025
268	3	27	9	1.0_pep49
269	3	27	10	0.5_pep49
270	3	28	1	0.25_pep49
271	3	28	2	1.0_pep50
272	3	28	3	0.5_pep50
273	3	28	4	0.25_pep50
274	3	28	5	1.0_pep52
275	3	28	6	0.5_pep52
276	3	28	7	0.25_pep52
277	3	28	8	1.0_pep61
278	3	28	9	0.5_pep61
279	3	28	10	0.25_pep61
280	3	29	1	DYE100
281	3	29	2	DYE050
282	3	29	3	DYE025
283	3	29	4	P10100
284	3	29	5	P10050
285	3	29	6	P10025
286	3	29	7	1.0_pep11
287	3	29	8	0.5_pep11
288	3	29	9	0.25_pep11
289	3	29	10	1.0_pep12
290	3	30	1	0.5_pep12
291	3	30	2	0.25_pep12
292	3	30	3	1.0_pep13
293	3	30	4	0.5_pep13
294	3	30	5	0.25_pep13
295	3	30	6	1.0_pep14
296	3	30	7	0.5_pep14
297	3	30	8	0.25_pep14
298	3	30	9	P001-1
299	3	30	10	P001-05
300	3	31	1	P001-025
301	3	31	2	1.0_pep49
302	3	31	3	0.5_pep49
303	3	31	4	0.25_pep49
304	3	31	5	1.0_pep50
305	3	31	6	0.5_pep50
306	3	31	7	0.25_pep50
307	3	31	8	1.0_pep52
308	3	31	9	0.5_pep52
309	3	31	10	0.25_pep52
310	3	32	1	1.0_pep61
311	3	32	2	0.5_pep61
312	3	32	3	0.25_pep61
313	3	32	4	DYE100
314	3	32	5	DYE050
315	3	32	6	DYE025
316	3	32	7	P10100
317	3	32	8	P10050
318	3	32	9	P10025
319	3	32	10	1.0_pep11
320	3	33	1	0.5_pep11
321	3	33	2	0.25_pep11
322	3	33	3	1.0_pep12
323	3	33	4	0.5_pep12
324	3	33	5	0.25_pep12
325	3	33	6	1.0_pep13
326	3	33	7	0.5_pep13
327	3	33	8	0.25_pep13
328	3	33	9	1.0_pep14
329	3	33	10	0.5_pep14
330	3	34	1	0.25_pep14
331	3	34	2	P001-1
332	3	34	3	P001-05
333	3	34	4	P001-025
334	3	34	5	1.0_pep49
335	3	34	6	0.5_pep49
336	3	34	7	0.25_pep49
337	3	34	8	1.0_pep50
338	3	34	9	0.5_pep50
339	3	34	10	0.25_pep50
340	3	35	1	1.0_pep52
341	3	35	2	0.5_pep52
342	3	35	3	0.25_pep52
343	3	35	4	1.0_pep61
344	3	35	5	0.5_pep61
345	3	35	6	0.25_pep61
346	3	35	7	DYE100
347	3	35	8	DYE050
348	3	35	9	DYE025
349	3	35	10	NO
350	3	36	1	NO
351	3	36	2	NO
352	3	36	3	NO
353	3	36	4	NO
354	3	36	5	NO
355	3	36	6	NO
356	3	36	7	NO
357	3	36	8	NO
358	3	36	9	NO
359	3	36	10	NO
