ID	Block	Row	Column	Name
1	1	1	1	LF
2	1	1	2	LF
3	1	1	3	LF
4	1	1	4	LF
5	1	1	5	LF
6	1	1	6	LF
7	1	1	7	LF
8	1	1	8	LF
9	1	1	9	LF
10	1	1	10	LF
11	1	1	11	blank
12	1	1	12	blank
13	1	1	13	blank
14	1	1	14	blank
15	1	1	15	blank
16	1	2	1	Pep_80
17	1	2	2	Pep_81
18	1	2	3	Pep_82
19	1	2	4	Pep_83
20	1	2	5	Pep_84
21	1	2	6	Pep_86
22	1	2	7	Pep_88
23	1	2	8	Pep_89
24	1	2	9	Pep_90
25	1	2	10	LF
26	1	2	11	Pep_91
27	1	2	12	Pep_94
28	1	2	13	Pep_95
29	1	2	14	Pep_96
30	1	2	15	Pep_98
31	1	3	1	Pep_90
32	1	3	2	Pep_100
33	1	3	3	Pep_101
34	1	3	4	Pep_102
35	1	3	5	Pep_103
36	1	3	6	LF
37	1	3	7	Pep_104
38	1	3	8	Pep_105
39	1	3	9	Pep_106
40	1	3	10	Pep_7
41	1	3	11	Pep_8
42	1	3	12	Pep_9
43	1	3	13	Pep_10
44	1	3	14	Pep_12
45	1	3	15	Pep_13
46	1	4	1	Nenad
47	1	4	2	LF
48	1	4	3	Pep_43
49	1	4	4	Pep_44
50	1	4	5	Pep_45 III
51	1	4	6	Pep_47
52	1	4	7	Pep_48
53	1	4	8	Pep_50
54	1	4	9	Pep_52
55	1	4	10	Pep_54
56	1	4	11	Pep_55
57	1	4	12	Pep_56
58	1	4	13	Pep_57
59	1	4	14	Pep_59
60	1	4	15	Pep_60
61	1	5	1	Pep_61
62	1	5	2	Pep_63
63	1	5	3	Pep_65
64	1	5	4	Pep_66
65	1	5	5	Pep_67
66	1	5	6	Pep_68
67	1	5	7	Pep_69
68	1	5	8	LF
69	1	5	9	Pep_70
70	1	5	10	Pep_71
71	1	5	11	Pep_72
72	1	5	12	Pep_73
73	1	5	13	Pep_74
74	1	5	14	Pep_75
75	1	5	15	Pep_76
76	1	6	1	Pep_77
77	1	6	2	Pep_136
78	1	6	3	Pep_131.2
79	1	6	4	LF
80	1	6	5	Pep_114
81	1	6	6	Pep_115
82	1	6	7	Pep_131.1
83	1	6	8	Pep_132
84	1	6	9	Pep_133
85	1	6	10	Pep_116
86	1	6	11	Pep_134
87	1	6	12	Pep_117
88	1	6	13	Pep_118
89	1	6	14	Pep_119
90	1	6	15	Pep_128
91	1	7	1	Pep_135
92	1	7	2	LF
93	1	7	3	Pep_120
94	1	7	4	Pep_121
95	1	7	5	Pep_122
96	1	7	6	Pep_123
97	1	7	7	Pep_124
98	1	7	8	Pep_125
99	1	7	9	Pep_130
100	1	7	10	Pep_127
101	1	7	11	Kloes?re
102	1	7	12	Kloeamind
103	1	7	13	AK x31 3125
104	1	7	14	AK Cal 28666
105	1	7	15	AK Cal 28667
106	1	8	1	blank
107	1	8	2	blank
108	1	8	3	blank
109	1	8	4	Pep_80
110	1	8	5	Pep_81
111	1	8	6	Pep_82
112	1	8	7	Pep_83
113	1	8	8	Pep_84
114	1	8	9	Pep_86
115	1	8	10	Pep_88
116	1	8	11	Pep_89
117	1	8	12	Pep_90
118	1	8	13	LF
119	1	8	14	Pep_91
120	1	8	15	Pep_94
121	1	9	1	Pep_95
122	1	9	2	Pep_96
123	1	9	3	Pep_98
124	1	9	4	Pep_90
125	1	9	5	Pep_100
126	1	9	6	Pep_101
127	1	9	7	Pep_102
128	1	9	8	Pep_103
129	1	9	9	LF
130	1	9	10	Pep_104
131	1	9	11	Pep_105
132	1	9	12	Pep_106
133	1	9	13	Pep_7
134	1	9	14	Pep_8
135	1	9	15	Pep_9
136	1	10	1	Pep_10
137	1	10	2	Pep_12
138	1	10	3	Pep_13
139	1	10	4	Nenad
140	1	10	5	LF
141	1	10	6	Pep_43
142	1	10	7	Pep_44
143	1	10	8	Pep_45 III
144	1	10	9	Pep_47
145	1	10	10	Pep_48
146	1	10	11	Pep_50
147	1	10	12	Pep_52
148	1	10	13	Pep_54
149	1	10	14	Pep_55
150	1	10	15	Pep_56
151	1	11	1	Pep_57
152	1	11	2	Pep_59
153	1	11	3	Pep_60
154	1	11	4	Pep_61
155	1	11	5	Pep_63
156	1	11	6	Pep_65
157	1	11	7	Pep_66
158	1	11	8	Pep_67
159	1	11	9	Pep_68
160	1	11	10	Pep_69
161	1	11	11	LF
162	1	11	12	Pep_70
163	1	11	13	Pep_71
164	1	11	14	Pep_72
165	1	11	15	Pep_73
166	1	12	1	Pep_74
167	1	12	2	Pep_75
168	1	12	3	Pep_76
169	1	12	4	Pep_77
170	1	12	5	Pep_136
171	1	12	6	Pep_131.2
172	1	12	7	LF
173	1	12	8	Pep_114
174	1	12	9	Pep_115
175	1	12	10	Pep_131.1
176	1	12	11	Pep_132
177	1	12	12	Pep_133
178	1	12	13	Pep_116
179	1	12	14	Pep_134
180	1	12	15	Pep_117
181	1	13	1	Pep_118
182	1	13	2	Pep_119
183	1	13	3	Pep_128
184	1	13	4	Pep_135
185	1	13	5	LF
186	1	13	6	Pep_120
187	1	13	7	Pep_121
188	1	13	8	Pep_122
189	1	13	9	Pep_123
190	1	13	10	Pep_124
191	1	13	11	Pep_125
192	1	13	12	Pep_130
193	1	13	13	Pep_127
194	1	13	14	Kloes?re
195	1	13	15	Kloeamind
196	1	14	1	AK x31 3125
197	1	14	2	AK Cal 28666
198	1	14	3	AK Cal 28667
199	1	14	4	blank
200	1	14	5	blank
201	1	14	6	blank
202	1	14	7	Pep_80
203	1	14	8	Pep_81
204	1	14	9	Pep_82
205	1	14	10	Pep_83
206	1	14	11	Pep_84
207	1	14	12	Pep_86
208	1	14	13	Pep_88
209	1	14	14	Pep_89
210	1	14	15	Pep_90
211	1	15	1	LF
212	1	15	2	Pep_91
213	1	15	3	Pep_94
214	1	15	4	Pep_95
215	1	15	5	Pep_96
216	1	15	6	Pep_98
217	1	15	7	Pep_90
218	1	15	8	Pep_100
219	1	15	9	Pep_101
220	1	15	10	Pep_102
221	1	15	11	Pep_103
222	1	15	12	LF
223	1	15	13	Pep_104
224	1	15	14	Pep_105
225	1	15	15	Pep_106
226	1	16	1	Pep_7
227	1	16	2	Pep_8
228	1	16	3	Pep_9
229	1	16	4	Pep_10
230	1	16	5	Pep_12
231	1	16	6	Pep_13
232	1	16	7	Nenad
233	1	16	8	LF
234	1	16	9	Pep_43
235	1	16	10	Pep_44
236	1	16	11	Pep_45 III
237	1	16	12	Pep_47
238	1	16	13	Pep_48
239	1	16	14	Pep_50
240	1	16	15	Pep_52
241	1	17	1	Pep_54
242	1	17	2	Pep_55
243	1	17	3	Pep_56
244	1	17	4	Pep_57
245	1	17	5	Pep_59
246	1	17	6	Pep_60
247	1	17	7	Pep_61
248	1	17	8	Pep_63
249	1	17	9	Pep_65
250	1	17	10	Pep_66
251	1	17	11	Pep_67
252	1	17	12	Pep_68
253	1	17	13	Pep_69
254	1	17	14	LF
255	1	17	15	Pep_70
256	1	18	1	Pep_71
257	1	18	2	Pep_72
258	1	18	3	Pep_73
259	1	18	4	Pep_74
260	1	18	5	Pep_75
261	1	18	6	Pep_76
262	1	18	7	Pep_77
263	1	18	8	Pep_136
264	1	18	9	Pep_131.2
265	1	18	10	LF
266	1	18	11	Pep_114
267	1	18	12	Pep_115
268	1	18	13	Pep_131.1
269	1	18	14	Pep_132
270	1	18	15	Pep_133
271	1	19	1	Pep_116
272	1	19	2	Pep_134
273	1	19	3	Pep_117
274	1	19	4	Pep_118
275	1	19	5	Pep_119
276	1	19	6	Pep_128
277	1	19	7	Pep_135
278	1	19	8	LF
279	1	19	9	Pep_120
280	1	19	10	Pep_121
281	1	19	11	Pep_122
282	1	19	12	Pep_123
283	1	19	13	Pep_124
284	1	19	14	Pep_125
285	1	19	15	Pep_130
286	1	20	1	Pep_127
287	1	20	2	Kloes?re
288	1	20	3	Kloeamind
289	1	20	4	AK x31 3125
290	1	20	5	AK Cal 28666
291	1	20	6	AK Cal 28667
292	1	20	7	blank
293	1	20	8	blank
294	1	20	9	blank
295	1	20	10	Pep_80
296	1	20	11	Pep_81
297	1	20	12	Pep_82
298	1	20	13	Pep_83
299	1	20	14	Pep_84
300	1	20	15	Pep_86
301	1	21	1	Pep_88
302	1	21	2	Pep_89
303	1	21	3	Pep_90
304	1	21	4	LF
305	1	21	5	Pep_91
306	1	21	6	Pep_94
307	1	21	7	Pep_95
308	1	21	8	Pep_96
309	1	21	9	Pep_98
310	1	21	10	Pep_90
311	1	21	11	Pep_100
312	1	21	12	Pep_101
313	1	21	13	Pep_102
314	1	21	14	Pep_103
315	1	21	15	LF
316	1	22	1	Pep_104
317	1	22	2	Pep_105
318	1	22	3	Pep_106
319	1	22	4	Pep_7
320	1	22	5	Pep_8
321	1	22	6	Pep_9
322	1	22	7	Pep_10
323	1	22	8	Pep_12
324	1	22	9	Pep_13
325	1	22	10	Nenad
326	1	22	11	LF
327	1	22	12	Pep_43
328	1	22	13	Pep_44
329	1	22	14	Pep_45 III
330	1	22	15	Pep_47
331	1	23	1	Pep_48
332	1	23	2	Pep_50
333	1	23	3	Pep_52
334	1	23	4	Pep_54
335	1	23	5	Pep_55
336	1	23	6	Pep_56
337	1	23	7	Pep_57
338	1	23	8	Pep_59
339	1	23	9	Pep_60
340	1	23	10	Pep_61
341	1	23	11	Pep_63
342	1	23	12	Pep_65
343	1	23	13	Pep_66
344	1	23	14	Pep_67
345	1	23	15	Pep_68
346	1	24	1	Pep_69
347	1	24	2	LF
348	1	24	3	Pep_70
349	1	24	4	Pep_71
350	1	24	5	Pep_72
351	1	24	6	Pep_73
352	1	24	7	Pep_74
353	1	24	8	Pep_75
354	1	24	9	Pep_76
355	1	24	10	Pep_77
356	1	24	11	Pep_136
357	1	24	12	Pep_131.2
358	1	24	13	LF
359	1	24	14	Pep_114
360	1	24	15	Pep_115
361	1	25	1	Pep_131.1
362	1	25	2	Pep_132
363	1	25	3	Pep_133
364	1	25	4	Pep_116
365	1	25	5	Pep_134
366	1	25	6	Pep_117
367	1	25	7	Pep_118
368	1	25	8	Pep_119
369	1	25	9	Pep_128
370	1	25	10	Pep_135
371	1	25	11	LF
372	1	25	12	Pep_120
373	1	25	13	Pep_121
374	1	25	14	Pep_122
375	1	25	15	Pep_123
376	1	26	1	Pep_124
377	1	26	2	Pep_125
378	1	26	3	Pep_130
379	1	26	4	Pep_127
380	1	26	5	Kloes?re
381	1	26	6	Kloeamind
382	1	26	7	AK x31 3125
383	1	26	8	AK Cal 28666
384	1	26	9	AK Cal 28667
385	1	26	10	blank
386	1	26	11	blank
387	1	26	12	blank
388	1	26	13	Pep_80
389	1	26	14	Pep_81
