Row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	31822480	13618032	4366419	27706518	20327618	13287738	1536153	2264306	1689231	1900685	1182673	20250871	14848818	2018407	784908
2	79988790	30007066	4413332	53164791	44226821	34460195	2015308	2703284	1761707	1846808	2057260	63825571	60082555	9605879	36062762
3	53012746	37593684	8932726	62188972	59647107	6585009	16253722	8930083	6863393	3087421	6583930	4096775	958416	736449	53339149
4	116132070	18275137	55777154	8527436	10036842	6526896	17155535	18499703	9975843	8929097	59703536	45063392	4681269	22360100	1358649
5	25104012	35236162	13186851	12847098	2247327	19000010	14581414	13178241	15767385	6720501	25257031	35786331	4764028	44362679	3528931
6	4974646	5715665	54871789	5413329	3136203	10175774	13512014	44823632	12579725	18845068	6287050	2545202	1804814	2459348	1287317
7	22924302	7748818	6528767	9522867	63339485	18853569	13106803	56541398	11333553	16928582	4384808	5014763	2032800	2026488	3542083
8	94029052	24268180	13801979	70945236	30895881	15215429	72107296	66398768	39911903	19562229	7358961	5650707	3508919	2426054	53347222
9	8450612	12465457	86591561	32765718	35918495	16948890	66340303	61149907	15636646	21008103	14078671	8519877	2970377	3922325	3922659
10	13798328	42057976	17443005	133455051	21182179	39268563	12494994	13090657	13135852	23955278	20683526	13147278	7934517	32007093	29716363
11	24306570	102057013	23256373	30221407	28171764	11088566	8466157	3372933	23683721	18882803	13292426	13524019	7224630	35054581	35517095
12	5751939	6993403	9449306	3256302	14203403	55426242	4479683	2152793	11262078	11669932	23164894	11915744	13088419	14454257	2023748
13	5660564	6373987	6845059	48309193	6160013	9638004	8205032	40391575	14252103	13341738	44896596	8324382	18535365	3046379	3821160
14	10202639	7982389	64956859	83487569	33796829	13151937	75313729	34741367	8222087	70787121	75542360	17492155	21951953	4604626	6281600
15	6829262	14728308	11397770	38441043	11166662	80746591	42498044	40936288	10426061	60137909	62302486	9601597	16886917	10928162	5941214
16	17659612	68589690	62507378	15628016	7475996	17257310	94365506	29514543	42519303	17787428	30152048	9778109	20687793	17467795	7187354
17	12614227	84823505	89302272	45888966	100764284	19590995	34692119	39809948	27773065	41447261	8048916	18576163	13564989	16446395	8799213
18	6137229	33583723	14582593	6735786	47654461	10445563	17282506	22606441	48051756	26111060	5691226	18493302	19881209	17526701	12416117
19	43377865	14475965	20495727	8104252	9049266	6589433	16024772	11101292	21293357	14199048	16383393	18313740	17795503	27567839	5533889
20	46472523	19530176	34869601	14579056	9057418	66287944	62361396	23887244	17591532	70346324	21868016	16076140	66524249	69176190	20559341
21	30282781	36781446	36320380	27504455	14315405	37001334	39613335	15442013	72109324	33167323	40451199	9717652	56509628	40589595	13008428
22	51196914	49981823	37579773	19735604	45203846	34834288	19253015	13097621	29047253	93206798	30759992	39019694	52516651	49244894	17178435
23	24442331	26182818	16890153	40307706	94895597	73526622	30914710	70167252	17350581	58197477	33026867	25167345	36004240	11882055	18063837
24	31777911	15454513	27908002	12898041	29182249	13334421	6908829	18948978	11217114	19677625	23329807	29200412	45483982	7283178	18342869
