raw_spot__row	1	2	3	4	5	6	7	8	9
1	1569.0	2185.0	3988.0	3104.0	161.0	394.0	788.0	4396.0	443.0
2	1840.0	2203.0	5003.0	2975.0	148.0	613.0	726.0	4284.0	486.0
3	2039.0	2269.0	5163.0	3067.0	126.0	689.0	692.0	3493.0	372.0
4	1168.0	1578.0	4211.0	1948.0	172.0	568.0	258.0	3472.0	314.0
5	510.0	892.0	2609.0	2874.0	484.0	849.0	1650.0	2791.0	1445.0
6	524.0	971.0	3227.0	2727.0	573.0	1384.0	1527.0	2950.0	1482.0
7	580.0	657.0	3020.0	2175.0	732.0	1951.0	1947.0	2907.0	1174.0
8	504.0	1007.0	1469.0	1993.0	521.0	1598.0	1802.0	2952.0	1325.0
9	702.0	1504.0	2476.0	2942.0	374.0	379.0	627.0	1279.0	1697.0
10	1187.0	1974.0	2864.0	3707.0	521.0	903.0	590.0	1328.0	1736.0
11	1052.0	2658.0	3470.0	3450.0	547.0	937.0	805.0	1363.0	1760.0
12	1092.0	2577.0	2854.0	3359.0	534.0	995.0	816.0	1435.0	1947.0
13	734.0	1410.0	4035.0	3086.0	205.0	370.0	519.0	1712.0	633.0
14	2108.0	2117.0	3621.0	4178.0	108.0	769.0	501.0	1891.0	663.0
15	1559.0	2139.0	4662.0	4044.0	179.0	700.0	604.0	1844.0	707.0
16	1072.0	2214.0	3552.0	3731.0	171.0	730.0	427.0	1914.0	656.0
17	87.0	286.0	436.0	567.0	164.0	194.0	368.0	541.0	399.0
18	111.0	393.0	516.0	591.0	167.0	491.0	424.0	806.0	408.0
19	129.0	462.0	555.0	669.0	217.0	667.0	450.0	766.0	514.0
20	67.0	443.0	702.0	581.0	144.0	570.0	332.0	746.0	503.0
21	143.0	182.0	500.0	545.0	86.0	135.0	213.0	235.0	348.0
22	177.0	367.0	746.0	616.0	79.0	260.0	201.0	216.0	363.0
23	157.0	338.0	713.0	660.0	117.0	252.0	217.0	253.0	330.0
24	122.0	309.0	785.0	523.0	96.0	249.0	150.0	207.0	358.0
