raw_spot__row	1	2	3	4	5	6	7	8	9	10
1	715047.0	9443.0	9430.0	44539.0	1759.0	6513.0	19367.0	15582.0	9702.0	498434.0
2	2014.0	10912.0	30247.0	4921.0	6882.0	11021.0	11745.0	14969.0	4249.0	5553.0
3	798.0	39815.0	54991.0	17777.0	14224.0	12939.0	10078.0	6900.0	9021.0	4530.0
4	4899.0	10701.0	39788.0	22157.0	30484.0	18071.0	7643.0	6417.0	23679.0	9392.0
5	720.0	9597.0	28499.0	64051.0	30807.0	13782.0	6279.0	10674.0	24497.0	15575.0
6	13137.0	10002.0	22813.0	24250.0	44338.0	9180.0	7302.0	12294.0	41016.0	15575.0
7	8730.0	16978.0	51709.0	21109.0	52073.0	24530.0	22275.0	18438.0	187030.0	22725.0
8	865356.0	13053.0	89695.0	55020.0	24866.0	24820.0	30148.0	26481.0	113130.0	19687.0
9	6763.0	24464.0	2839.0	5554.0	19433.0	20075.0	27967.0	11482.0	2966.0	5831.0
10	15655.0	84604.0	81622.0	35000.0	21088.0	19983.0	23930.0	206388.0	15341.0	10872.0
11	12707.0	68348.0	97699.0	13600.0	30280.0	16337.0	23674.0	28165.0	13947.0	77691.0
12	9610.0	26142.0	114097.0	24798.0	32313.0	21459.0	14545.0	12081.0	13982.0	6734.0
13	5857.0	8560.0	27413.0	33304.0	48559.0	19307.0	12908.0	8387.0	67857.0	5993.0
14	13212.0	14010.0	31583.0	13508.0	34707.0	10692.0	19610.0	7920.0	99851.0	43541.0
15	2208.0	2082.0	27220.0	32273.0	33513.0	26642.0	14730.0	28432.0	148725.0	38708.0
16	795567.0	30035.0	59580.0	19561.0	39602.0	19184.0	23421.0	20451.0	187517.0	27839.0
17	6079.0	7198.0	13076.0	12969.0	640.0	3056.0	6163.0	13009.0	24338.0	14757.0
18	1242.0	57334.0	12033.0	50686.0	18017.0	10301.0	24169.0	87064.0	3887.0	5578.0
19	1632.0	100244.0	153660.0	42861.0	15799.0	13788.0	18058.0	180429.0	22335.0	2593.0
20	718.0	159031.0	176480.0	10498.0	9404.0	12251.0	16874.0	79366.0	18661.0	5587.0
21	420.0	16503.0	141638.0	32530.0	25367.0	32326.0	107606.0	11301.0	19272.0	6707.0
22	8387.0	15987.0	29428.0	15438.0	31429.0	19510.0	18751.0	18499.0	112792.0	6525.0
23	12487.0	13656.0	24873.0	12807.0	19799.0	9469.0	11698.0	10935.0	122134.0	104178.0
24	7529.0	10069.0	31182.0	10888.0	79763.0	10375.0	5650.0	25732.0	96411.0	74679.0
25	571649.0	11973.0	6668.0	2846.0	2539.0	8014.0	5770.0	5946.0	8567.0	88332.0
