step	index	user	start	comment	image	intensities
S03	0					
SC001	1			Wavelength: 635 Intensity: 600 Gain:100	E8_(=E2)_170725_600_100_635.jpg	
SC001	2			Wavelength: 532 Intensity: 600 Gain:100	E8_(=E2)_170725_600_100_532.jpg	
W004	3					
Q02	4					
SC001	4			Wavelength: 635 Intensity: 500 Gain:50	E8_ nach_quenchen_ 500_50_635.jpg	
SC001	5			Wavelength: 635 Intensity: 500 Gain:50	E8_ nach_quenchen_ 500_50_532.jpg	
I01	6					
W004	7					
SC001	8			Wavelength: 635 Intensity: 400 Gain:100	E8_ nach_quenchen_inkubiert_24h waschen_ 400_100_alle_farben.jpg	
SC001	9			Wavelength: 635 Intensity: 500 Gain:50	E8_ nach_quenchen_inkubiert_24h waschen_ 500_50_alle_farben.jpg	
