Row	1	2	3	4	5	6	7	8	9	10
1	455212	7918	6297	3057	4757	3435	3976	7426	3139	862119
2	384043	9926	55692	26272	51416	61901	59059	44072	4699	387108
3	70726	34516	23839	30692	18036	33841	65172	19037	11278	28697
4	78463	22295	28263	36238	21397	36964	101639	12485	42686	6614
5	5706	17465	20977	9482	17982	51025	62161	11990	27733	3494
6	5895	13620	26616	10731	22554	37499	59693	38290	35262	3494
7	1724	3978	29366	18779	27996	66235	105522	40961	44406	9721
8	1419765	1697	36982	72081	25269	64974	71078	40349	44821	9006
9	496997	2231	9218	4832	4243	4127	3134	2448	4705	8802
10	797	45046	75606	40346	75004	48499	30679	74633	13918	12187
11	932	49924	101703	23419	54487	67614	73338	26288	10314	11616
12	2319	16025	73195	30947	24564	80860	105902	14426	9852	11386
13	1769	35294	36247	32282	21354	67257	127597	10632	22319	12204
14	3183	14864	40498	12322	18628	77746	81390	11975	23553	48510
15	85811	3350	33195	19362	43367	64851	81553	51418	20966	43987
16	974222	3368	46239	20199	39108	65785	98833	56371	47206	51463
17	8693	8077	1855	3056	1781	1227	3795	3860	3303	8214
18	1621	52153	23460	42577	53581	75205	49932	35805	6363	5605
19	3277	68197	66797	43568	55714	57417	50956	24203	10664	6261
20	1244	46856	83144	25737	91540	96967	81204	30527	11789	14689
21	1352	15116	101669	26168	27937	100883	95833	15919	9209	7813
22	2426	20815	32309	25663	24144	73985	96659	9540	22351	70567
23	934	10927	26440	9527	33846	80122	58114	24007	19829	222342
24	362142	2113	31794	15791	56314	70257	51282	24102	20479	215041
25	550746	8304	2856	788	3643	7733	6884	4405	5090	93287
