ID	Block	Row	Column	Name
0	1	1	1	NO
1	1	2	1	0.5_pep60
2	1	3	1	0.5_pep43
3	1	4	1	0.25_Christian
4	1	5	1	1.0_pep37
5	1	6	1	0.5_pep41
6	1	7	1	0.5_pep45
7	1	8	1	KLOA025
8	1	9	1	NO
9	1	10	1	0.5_pep50
10	1	11	1	0.5_pep16
11	1	12	1	1.0_pep13
12	1	13	1	0.25_pep10
13	1	14	1	0.5_pep52
14	1	15	1	0.25_pep7
15	1	16	1	0.5_pep40
16	1	1	2	Ach1
17	1	2	2	1.0_pep39
18	1	3	2	1.0_pep47
19	1	4	2	0.25_pep41
20	1	5	2	1.0_pep44
21	1	6	2	NEN025
22	1	7	2	1.0_Ak_28666
23	1	8	2	1.0_pep48
24	1	9	2	1.0_pep49
25	1	10	2	NEN050
26	1	11	2	0.5_pep12
27	1	12	2	0.25_pep63
28	1	13	2	1.0_pep52
29	1	14	2	1.0_pep50
30	1	15	2	Pan3
31	1	16	2	NO
32	1	1	3	0.5_pep10
33	1	2	3	0.25_pep50
34	1	3	3	0.25_pep49
35	1	4	3	0.5_pep57
36	1	5	3	1.0_pep55
37	1	6	3	Wasser
38	1	7	3	1.0_pep14
39	1	8	3	1.0_pep56
40	1	9	3	Pan3
41	1	10	3	1.0_Christian
42	1	11	3	NO
43	1	12	3	Ach1
44	1	13	3	0.25_pep40
45	1	14	3	0.25_pep11
46	1	15	3	0.25_pep52
47	1	16	3	Cal2
48	1	1	4	NO
49	1	2	4	0.5_pep61
50	1	3	4	0.5_pep13
51	1	4	4	Puffer
52	1	5	4	0.25_pep48
53	1	6	4	1.0_pep8
54	1	7	4	NO
55	1	8	4	0.5_pep44
56	1	9	4	Ach1
57	1	10	4	1.0_pep7
58	1	11	4	0.5_AK_28667
59	1	12	4	0.25_pep44
60	1	13	4	1.0_pep45
61	1	14	4	1.0_pep43
62	1	15	4	Cal2
63	1	16	4	0.5_pep9
64	1	1	5	1.0_pep12
65	1	2	5	0.25_pep46
66	1	3	5	0.25_pep54
67	1	4	5	NO
68	1	5	5	Puffer
69	1	6	5	DYE050
70	1	7	5	0.25_pep60
71	1	8	5	Cal2
72	1	9	5	Puffer
73	1	10	5	1.0_pep59
74	1	11	5	0.25_pep39
75	1	12	5	P012-025
76	1	13	5	Puffer
77	1	14	5	1.0_pep61
78	1	15	5	1.0_pep58
79	1	16	5	Puffer
80	1	1	6	0.5_pep14
81	1	2	6	DYE100
82	1	3	6	1.0_pep57
83	1	4	6	0.5_pep6
84	1	5	6	NO
85	1	6	6	KLOA025
86	1	7	6	1.0_AK_28665
87	1	8	6	0.5_pep37
88	1	9	6	0.5_pep49
89	1	10	6	Wasser
90	1	11	6	0.5_Ak_28666
91	1	12	6	0.5_pep47
92	1	13	6	0.5_pep58
93	1	14	6	0.25_AK_28665
94	1	15	6	1.0_pep54
95	1	16	6	Puffer
96	1	1	7	1.0_pep9
97	1	2	7	0.25_pep45
98	1	3	7	DYE025
99	1	4	7	0.25_pep61
100	1	5	7	0.5_pep8
101	1	6	7	0.25_pep59
102	1	7	7	0.25_pep37
103	1	8	7	Wasser
104	1	9	7	NO
105	1	10	7	0.5_pep63
106	1	11	7	0.25_pep56
107	1	12	7	0.25_pep57
108	1	13	7	NO
109	1	14	7	P012-05
110	1	15	7	0.25_pep8
111	1	16	7	0.5_pep54
112	1	1	8	0.25_pep43
113	1	2	8	0.5_AK_28665
114	1	3	8	0.5_pep46
115	1	4	8	NO
116	1	5	8	0.25_pep16
117	1	6	8	NO
118	1	7	8	0.5_pep59
119	1	8	8	P012-1
120	1	9	8	KLOS025
121	1	10	8	0.25_pep58
122	1	11	8	0.25_pep55
123	1	12	8	1.0_pep10
124	1	13	8	0.5_pep39
125	1	14	8	1.0_pep63
126	1	15	8	1.0_pep41
127	1	16	8	0.25_pep13
128	1	1	9	1.0_pep60
129	1	2	9	1.0_pep16
130	1	3	9	0.25_Ak_28666
131	1	4	9	1.0_pep11
132	1	5	9	Puffer
133	1	6	9	1.0_pep46
134	1	7	9	1.0_AK_28667
135	1	8	9	NO
136	1	9	9	1.0_pep6
137	1	10	9	Puffer
138	1	11	9	0.5_pep11
139	1	12	9	0.5_pep7
140	1	13	9	KLOS050
141	1	14	9	NO
142	1	15	9	0.25_pep14
143	1	16	9	0.25_pep12
144	1	1	10	0.5_Christian
145	1	2	10	NO
146	1	3	10	Pan3
147	1	4	10	0.25_pep6
148	1	5	10	0.5_pep55
149	1	6	10	1.0_pep40
150	1	7	10	0.25_pep47
151	1	8	10	0.25_pep9
152	1	9	10	NO
153	1	10	10	0.25_AK_28667
154	1	11	10	Puffer
155	1	12	10	0.5_pep48
156	1	13	10	KLOS100
157	1	14	10	NEN100
158	1	15	10	0.5_pep56
159	1	16	10	KLOA050
160	2	1	1	NO
161	2	2	1	0.5_pep60
162	2	3	1	0.5_pep43
163	2	4	1	0.25_Christian
164	2	5	1	1.0_pep37
165	2	6	1	0.5_pep41
166	2	7	1	0.5_pep45
167	2	8	1	KLOA025
168	2	9	1	NO
169	2	10	1	0.5_pep50
170	2	11	1	0.5_pep16
171	2	12	1	1.0_pep13
172	2	13	1	0.25_pep10
173	2	14	1	0.5_pep52
174	2	15	1	0.25_pep7
175	2	16	1	0.5_pep40
176	2	1	2	Ach1
177	2	2	2	1.0_pep39
178	2	3	2	1.0_pep47
179	2	4	2	0.25_pep41
180	2	5	2	1.0_pep44
181	2	6	2	NEN025
182	2	7	2	1.0_Ak_28666
183	2	8	2	1.0_pep48
184	2	9	2	1.0_pep49
185	2	10	2	NEN050
186	2	11	2	0.5_pep12
187	2	12	2	0.25_pep63
188	2	13	2	1.0_pep52
189	2	14	2	1.0_pep50
190	2	15	2	Pan3
191	2	16	2	NO
192	2	1	3	0.5_pep10
193	2	2	3	0.25_pep50
194	2	3	3	0.25_pep49
195	2	4	3	0.5_pep57
196	2	5	3	1.0_pep55
197	2	6	3	Wasser
198	2	7	3	1.0_pep14
199	2	8	3	1.0_pep56
200	2	9	3	Pan3
201	2	10	3	1.0_Christian
202	2	11	3	NO
203	2	12	3	Ach1
204	2	13	3	0.25_pep40
205	2	14	3	0.25_pep11
206	2	15	3	0.25_pep52
207	2	16	3	Cal2
208	2	1	4	NO
209	2	2	4	0.5_pep61
210	2	3	4	0.5_pep13
211	2	4	4	Puffer
212	2	5	4	0.25_pep48
213	2	6	4	1.0_pep8
214	2	7	4	NO
215	2	8	4	0.5_pep44
216	2	9	4	Ach1
217	2	10	4	1.0_pep7
218	2	11	4	0.5_AK_28667
219	2	12	4	0.25_pep44
220	2	13	4	1.0_pep45
221	2	14	4	1.0_pep43
222	2	15	4	Cal2
223	2	16	4	0.5_pep9
224	2	1	5	1.0_pep12
225	2	2	5	0.25_pep46
226	2	3	5	0.25_pep54
227	2	4	5	NO
228	2	5	5	Puffer
229	2	6	5	DYE050
230	2	7	5	0.25_pep60
231	2	8	5	Cal2
232	2	9	5	Puffer
233	2	10	5	1.0_pep59
234	2	11	5	0.25_pep39
235	2	12	5	P012-025
236	2	13	5	Puffer
237	2	14	5	1.0_pep61
238	2	15	5	1.0_pep58
239	2	16	5	Puffer
240	2	1	6	0.5_pep14
241	2	2	6	DYE100
242	2	3	6	1.0_pep57
243	2	4	6	0.5_pep6
244	2	5	6	NO
245	2	6	6	KLOA025
246	2	7	6	1.0_AK_28665
247	2	8	6	0.5_pep37
248	2	9	6	0.5_pep49
249	2	10	6	Wasser
250	2	11	6	0.5_Ak_28666
251	2	12	6	0.5_pep47
252	2	13	6	0.5_pep58
253	2	14	6	0.25_AK_28665
254	2	15	6	1.0_pep54
255	2	16	6	Puffer
256	2	1	7	1.0_pep9
257	2	2	7	0.25_pep45
258	2	3	7	DYE025
259	2	4	7	0.25_pep61
260	2	5	7	0.5_pep8
261	2	6	7	0.25_pep59
262	2	7	7	0.25_pep37
263	2	8	7	Wasser
264	2	9	7	NO
265	2	10	7	0.5_pep63
266	2	11	7	0.25_pep56
267	2	12	7	0.25_pep57
268	2	13	7	NO
269	2	14	7	P012-05
270	2	15	7	0.25_pep8
271	2	16	7	0.5_pep54
272	2	1	8	0.25_pep43
273	2	2	8	0.5_AK_28665
274	2	3	8	0.5_pep46
275	2	4	8	NO
276	2	5	8	0.25_pep16
277	2	6	8	NO
278	2	7	8	0.5_pep59
279	2	8	8	P012-1
280	2	9	8	KLOS025
281	2	10	8	0.25_pep58
282	2	11	8	0.25_pep55
283	2	12	8	1.0_pep10
284	2	13	8	0.5_pep39
285	2	14	8	1.0_pep63
286	2	15	8	1.0_pep41
287	2	16	8	0.25_pep13
288	2	1	9	1.0_pep60
289	2	2	9	1.0_pep16
290	2	3	9	0.25_Ak_28666
291	2	4	9	1.0_pep11
292	2	5	9	Puffer
293	2	6	9	1.0_pep46
294	2	7	9	1.0_AK_28667
295	2	8	9	NO
296	2	9	9	1.0_pep6
297	2	10	9	Puffer
298	2	11	9	0.5_pep11
299	2	12	9	0.5_pep7
300	2	13	9	KLOS050
301	2	14	9	NO
302	2	15	9	0.25_pep14
303	2	16	9	0.25_pep12
304	2	1	10	0.5_Christian
305	2	2	10	NO
306	2	3	10	Pan3
307	2	4	10	0.25_pep6
308	2	5	10	0.5_pep55
309	2	6	10	1.0_pep40
310	2	7	10	0.25_pep47
311	2	8	10	0.25_pep9
312	2	9	10	NO
313	2	10	10	0.25_AK_28667
314	2	11	10	Puffer
315	2	12	10	0.5_pep48
316	2	13	10	KLOS100
317	2	14	10	NEN100
318	2	15	10	0.5_pep56
319	2	16	10	KLOA050
320	3	1	1	NO
321	3	2	1	0.5_pep60
322	3	3	1	0.5_pep43
323	3	4	1	0.25_Christian
324	3	5	1	1.0_pep37
325	3	6	1	0.5_pep41
326	3	7	1	0.5_pep45
327	3	8	1	KLOA025
328	3	9	1	NO
329	3	10	1	0.5_pep50
330	3	11	1	0.5_pep16
331	3	12	1	1.0_pep13
332	3	13	1	0.25_pep10
333	3	14	1	0.5_pep52
334	3	15	1	0.25_pep7
335	3	16	1	0.5_pep40
336	3	1	2	Ach1
337	3	2	2	1.0_pep39
338	3	3	2	1.0_pep47
339	3	4	2	0.25_pep41
340	3	5	2	1.0_pep44
341	3	6	2	NEN025
342	3	7	2	1.0_Ak_28666
343	3	8	2	1.0_pep48
344	3	9	2	1.0_pep49
345	3	10	2	NEN050
346	3	11	2	0.5_pep12
347	3	12	2	0.25_pep63
348	3	13	2	1.0_pep52
349	3	14	2	1.0_pep50
350	3	15	2	Pan3
351	3	16	2	NO
352	3	1	3	0.5_pep10
353	3	2	3	0.25_pep50
354	3	3	3	0.25_pep49
355	3	4	3	0.5_pep57
356	3	5	3	1.0_pep55
357	3	6	3	Wasser
358	3	7	3	1.0_pep14
359	3	8	3	1.0_pep56
360	3	9	3	Pan3
361	3	10	3	1.0_Christian
362	3	11	3	NO
363	3	12	3	Ach1
364	3	13	3	0.25_pep40
365	3	14	3	0.25_pep11
366	3	15	3	0.25_pep52
367	3	16	3	Cal2
368	3	1	4	NO
369	3	2	4	0.5_pep61
370	3	3	4	0.5_pep13
371	3	4	4	Puffer
372	3	5	4	0.25_pep48
373	3	6	4	1.0_pep8
374	3	7	4	NO
375	3	8	4	0.5_pep44
376	3	9	4	Ach1
377	3	10	4	1.0_pep7
378	3	11	4	0.5_AK_28667
379	3	12	4	0.25_pep44
380	3	13	4	1.0_pep45
381	3	14	4	1.0_pep43
382	3	15	4	Cal2
