ID	Block	Row	Column	Name
1	1	1	1	P032-1:50
2	1	1	2	P012-2
3	1	1	3	P019-2
4	1	1	4	P011-2
5	1	1	5	P013-100
6	1	1	6	X31-2-100
7	1	1	7	P001-2
8	1	1	8	P008-2
9	1	1	9	P009-2
10	1	1	10	P010-2
11	1	1	11	P013-100
12	1	1	12	P032-1:50
13	1	2	1	NO
14	1	2	2	P012-1
15	1	2	3	P019-1
16	1	2	4	P011-1
17	1	2	5	P013-050
18	1	2	6	X31-2-050
19	1	2	7	P001-1
20	1	2	8	P008-1
21	1	2	9	P009-1
22	1	2	10	P010-1
23	1	2	11	P013-050
24	1	2	12	NO
25	1	3	1	NO
26	1	3	2	P012-0,5
27	1	3	3	P019-0,5
28	1	3	4	P011-0,5
29	1	3	5	P013-025
30	1	3	6	X31-2-025
31	1	3	7	P001-0,5
32	1	3	8	P008-0,5
33	1	3	9	P009-0,5
34	1	3	10	P010-0,5
35	1	3	11	P013-025
36	1	3	12	NO
37	1	4	1	NO
38	1	4	2	P012-0,25
39	1	4	3	P019-0,25
40	1	4	4	P011-0,25
41	1	4	5	P013-0125
42	1	4	6	X31-2-0125
43	1	4	7	P001-0,25
44	1	4	8	P008-0,25
45	1	4	9	P009-0,25
46	1	4	10	P010-0,25
47	1	4	11	P013-0125
48	1	4	12	NO
49	1	5	1	NO
50	1	5	2	P012-0,125
51	1	5	3	P019-0,125
52	1	5	4	P011-0,125
53	1	5	5	P013-00625
54	1	5	6	X31-2-00625
55	1	5	7	P001-0,125
56	1	5	8	P008-0,125
57	1	5	9	P009-0,125
58	1	5	10	P010-0,125
59	1	5	11	P013-00625
60	1	5	12	NO
61	1	6	1	NO
62	1	6	2	P012-0,0625
63	1	6	3	P019-0,0625
64	1	6	4	P011-0,0625
65	1	6	5	P013-00313
66	1	6	6	X31-2-00313
67	1	6	7	P001-0,0625
68	1	6	8	P008-0,0625
69	1	6	9	P009-0,0625
70	1	6	10	P010-0,0625
71	1	6	11	P013-00313
72	1	6	12	NO
73	1	7	1	NO
74	1	7	2	P012-0,0313
75	1	7	3	P019-0,0313
76	1	7	4	P011-0,0313
77	1	7	5	P013-00156
78	1	7	6	X31-2-00156
79	1	7	7	P001-0,0313
80	1	7	8	P008-0,0313
81	1	7	9	P009-0,0313
82	1	7	10	P010-0,0313
83	1	7	11	P013-00156
84	1	7	12	NO
85	1	8	1	P032-1:50
86	1	8	2	P012-0,0156
87	1	8	3	P019-0,0156
88	1	8	4	P011-0,0156
89	1	8	5	P013-00078
90	1	8	6	X31-2-00078
91	1	8	7	P001-0,0156
92	1	8	8	P008-0,0156
93	1	8	9	P009-0,0156
94	1	8	10	P010-0,0156
95	1	8	11	P013-00078
96	1	8	12	P032-1:50
