Row	1	2	3	4	5	6	7	8	9	10
1	715047	9443	9430	44539	1759	6513	19367	15582	9702	498434
2	2014	10912	30247	4921	6882	11021	11745	14969	4249	5553
3	798	39815	54991	17777	14224	12939	10078	6900	9021	4530
4	4899	10701	39788	22157	30484	18071	7643	6417	23679	9392
5	720	9597	28499	64051	30807	13782	6279	10674	24497	15575
6	13137	10002	22813	24250	44338	9180	7302	12294	41016	15575
7	8730	16978	51709	21109	52073	24530	22275	18438	187030	22725
8	865356	13053	89695	55020	24866	24820	30148	26481	113130	19687
9	6763	24464	2839	5554	19433	20075	27967	11482	2966	5831
10	15655	84604	81622	35000	21088	19983	23930	206388	15341	10872
11	12707	68348	97699	13600	30280	16337	23674	28165	13947	77691
12	9610	26142	114097	24798	32313	21459	14545	12081	13982	6734
13	5857	8560	27413	33304	48559	19307	12908	8387	67857	5993
14	13212	14010	31583	13508	34707	10692	19610	7920	99851	43541
15	2208	2082	27220	32273	33513	26642	14730	28432	148725	38708
16	795567	30035	59580	19561	39602	19184	23421	20451	187517	27839
17	6079	7198	13076	12969	640	3056	6163	13009	24338	14757
18	1242	57334	12033	50686	18017	10301	24169	87064	3887	5578
19	1632	100244	153660	42861	15799	13788	18058	180429	22335	2593
20	718	159031	176480	10498	9404	12251	16874	79366	18661	5587
21	420	16503	141638	32530	25367	32326	107606	11301	19272	6707
22	8387	15987	29428	15438	31429	19510	18751	18499	112792	6525
23	12487	13656	24873	12807	19799	9469	11698	10935	122134	104178
24	7529	10069	31182	10888	79763	10375	5650	25732	96411	74679
25	571649	11973	6668	2846	2539	8014	5770	5946	8567	88332
