Row	1	2	3	4	5	6	7	8	9	10
1	205838	16785	10947	6708	4861	4065	6096	9250	10960	1026537
2	189924	9163	118999	46746	127793	105140	93242	466645	7033	765669
3	8269	230301	228984	49072	83607	140419	132340	22124	169317	3080
4	10068	100029	110176	51686	80416	106788	164436	17633	379515	3787
5	19779	79619	95152	26113	221412	123943	125579	20316	423818	3883
6	14631	79332	98459	14541	116272	130071	109708	68884	317302	3883
7	8467	20858	74097	31408	145237	126993	129556	108112	496481	236115
8	651622	8912	136144	175664	188062	153778	111541	73110	594060	306242
9	108614	16138	10381	7364	9031	11071	11463	15928	4528	4868
10	10123	101379	147323	157842	134545	100092	71487	440535	244301	6301
11	6676	229833	188896	51554	135188	114683	91944	492827	342206	9730
12	6477	75697	256372	59446	80167	107518	106891	17987	249954	10436
13	6704	76922	90080	54826	66814	82445	104331	20841	389830	7153
14	8010	88390	107059	19428	85497	96187	73328	22817	359059	74551
15	74537	4022	94166	22137	112536	96925	67816	55332	331113	82588
16	249046	11417	97038	41031	134505	72093	79598	59946	448985	55807
17	9588	19027	4270	11413	3754	19540	17834	16838	9303	6077
18	64147	95124	47987	137776	76746	66002	73347	435665	24709	11423
19	16009	163725	155686	97674	75865	78273	72513	475336	240522	10835
20	12752	227173	166240	48536	98435	102820	94312	391109	244157	11659
21	21363	98682	245949	45760	67582	92727	101138	36640	256447	13190
22	8041	105996	90431	36435	80929	99034	91325	34244	436971	195419
23	7361	64123	120181	14580	94550	99152	88081	66694	305947	413928
24	378348	4583	103545	19406	66310	54028	27117	29017	163400	337241
25	287692	6585	7582	7965	9074	5631	6020	9921	6586	157625
